TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
79	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	16084.6	16084.6	0	1.51072e+06	99.9865	46.2807	46.2807	
502	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	439.927	439.927	0	5.09009e+07	99.9995	37.687	37.687	
837	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	889.729	889.729	0	2.8695e+07	99.9984	41.8605	41.8605	
1631	[[0][2,3,4,5,6,7,8,9,10,11,2,3,4,5,6,7,8,9,10,11,2,3,][1]]	10	1700000	248.026	248.026	0	9.33146e+07	99.9984	40.0767	40.0767	
4878	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	56.9525	56.9525	0	3.89371e+08	99.9999	29.0239	29.0239	
9045	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	48.889	48.889	0	4.5617e+08	99.9998	23.9631	23.9631	
11371	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	44.316	44.7733	3.06409	4.97855e+08	99.9999	23.8872	23.8948	
13723	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	42.6424	42.8555	1.80274	5.19722e+08	99.9999	23.9134	23.9115	
16299	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	39.8275	40.1303	2.34406	5.54425e+08	99.9999	23.888	23.8903	
18873	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	38.5143	38.6759	1.47065	5.76318e+08	99.9999	23.9155	23.913	
21573	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	37.9342	38.0084	0.752772	5.8553e+08	99.9999	23.8753	23.879	
24773	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	33.3714	33.8351	4.12012	6.5873e+08	99.9999	23.9129	23.9095	
26898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	90.4464	90.4464	0	2.52879e+08	99.9998	42.8431	42.8431	
30516	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	53.1953	53.1953	0	4.20337e+08	99.9999	37.6374	37.6374	
33454	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	92.0334	92.0334	0	2.68494e+08	99.9997	41.8247	41.8247	
41229	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1200000	25.4088	25.4088	0	8.75886e+08	99.9999	23.9472	23.9472	
47583	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	30.2696	30.2696	0	7.3269e+08	99.9999	29.053	29.053	
52867	[[0][2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,][1]]	7	1200000	40.4301	40.4301	0	5.5053e+08	99.9999	26.2747	26.2747	
55170	[[0][2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,3,4,5,6,7,8,2,][1]]	7	1200000	45.6986	45.1717	3.49897	4.93979e+08	99.9999	26.3498	26.3423	
