TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
674	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	203.661	203.661	0	5.89321e+07	99.9985	46.007	46.007	
1452	[[0][2,3,4,5,6,7,][1]]	6	2000000	98.4726	98.4726	0	6.09304e+07	99.9995	37.4538	37.4538	
2556	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	181.304	181.304	0	9.37654e+07	99.9995	41.7054	41.7054	
3433	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2300000	164.388	164.388	0	6.08315e+07	99.9996	53.5251	53.5251	
4522	[[0][2,3,4,5,][1]]	4	1700000	47.109	47.109	0	8.49091e+07	99.9996	28.7007	28.7007	
6013	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	1200000	75.3803	75.3803	0	1.3266e+08	99.9994	29.6927	29.6927	
7069	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	180.916	180.916	0	7.7384e+07	99.9996	61.6637	61.6637	
8963	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	64.2263	64.2263	0	1.71269e+08	99.9997	30.9597	30.9597	
10748	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	60.7319	60.7319	0	1.48192e+08	99.9997	34.0374	34.0374	
11868	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1600000	64.387	64.387	0	1.39779e+08	99.9997	35.8669	35.8669	
13502	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	154.526	154.526	0	1.22957e+08	99.9996	65.9915	65.9915	
15804	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	74.4297	74.4297	0	2.01532e+08	99.9996	36.0864	36.0864	
17249	[[0][2,3,][1]]	2	2300000	20.1864	20.1864	0	9.90766e+07	99.9998	32.0806	32.0806	
19435	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	74.0354	74.0354	0	1.89097e+08	99.999	34.7997	34.7997	
21522	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	73.6257	73.6257	0	1.76569e+08	99.9997	33.5331	33.5331	
23371	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	104.484	104.484	0	1.43564e+08	99.9995	36.0371	36.0371	
24516	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	114.505	113.503	2.64871	1.32255e+08	99.9996	35.8871	35.9021	
25648	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	115.225	115.053	0.940389	1.30388e+08	99.9997	35.8559	35.8605	
26779	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	126.705	125.54	2.79784	1.19586e+08	99.9996	35.9329	35.9256	
27898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	134.817	133.89	2.23824	1.12094e+08	99.9995	35.943	35.9413	
29011	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	148.044	146.629	2.9673	1.02398e+08	99.9996	36.0459	36.0355	
30113	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	165.698	163.791	3.59221	9.17271e+07	99.9995	36.0936	36.0878	
31205	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	533.406	496.444	22.3389	3.44917e+07	99.999	36.2471	36.2312	
31294	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	61503.2	61503.2	0	195101	99.9156	37.1329	37.1329	
