TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
796	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	185.603	185.603	0	6.46611e+07	99.9991	44.9421	44.9421	
1615	[[0][2,3,4,5,6,7,][1]]	6	2000000	100.229	100.229	0	5.98626e+07	99.9995	37.5378	37.5378	
2726	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	178.892	178.892	0	9.50303e+07	99.9993	41.8358	41.8358	
3597	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2400000	173.488	173.488	0	5.76405e+07	99.9996	56.768	56.768	
4701	[[0][2,3,4,5,][1]]	4	1700000	46.1011	46.1011	0	8.67656e+07	99.9996	28.9121	28.9121	
6219	[[0][2,3,4,5,6,][1]]	5	1200000	37.5953	37.5953	0	1.32995e+08	99.9993	23.9677	23.9677	
7264	[[0][2,3,4,5,6,][1]]	5	1200000	38.2662	38.1991	0.526936	1.30896e+08	99.9996	23.9263	23.9304	
8286	[[0][2,3,4,5,6,][1]]	5	1200000	39.138	39.0441	0.739588	1.28067e+08	99.9997	23.9255	23.926	
9310	[[0][2,3,4,5,6,][1]]	5	1200000	39.0886	39.0841	0.236121	1.27929e+08	99.9996	23.9095	23.9111	
10373	[[0][2,3,4,5,6,][1]]	5	1200000	37.6933	37.8324	1.10556	1.32177e+08	99.9995	23.8387	23.8459	
11474	[[0][2,3,4,5,6,][1]]	5	1200000	36.3952	36.539	1.23426	1.3686e+08	99.9997	23.9212	23.9136	
12623	[[0][2,3,4,5,6,][1]]	5	1200000	34.5071	34.7102	1.80359	1.44095e+08	99.9998	23.8349	23.8428	
13769	[[0][2,3,4,5,6,][1]]	5	1200000	31.3731	31.7068	3.21865	1.57844e+08	99.9997	24.3333	24.2843	
