TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
702	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	178.092	178.092	0	6.73905e+07	99.999	45.0665	45.0665	
1528	[[0][2,3,4,5,6,7,][1]]	6	2000000	100.863	100.863	0	5.94866e+07	99.9994	36.8311	36.8311	
2652	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	177.411	177.411	0	9.58229e+07	99.9994	41.4262	41.4262	
3679	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1900000	286.431	286.431	0	7.68084e+07	99.9995	70.7468	70.7468	
4802	[[0][2,3,4,5,][1]]	4	1700000	44.3987	44.3987	0	9.00923e+07	99.9995	28.6716	28.6716	
6195	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1400000	76.8704	76.8704	0	1.1708e+08	99.9992	31.9737	31.9737	
7682	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	70.0918	70.0918	0	1.28405e+08	99.9996	34.108	34.108	
9254	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	90.0078	90.0078	0	1.33322e+08	99.9997	42.7008	42.7008	
10719	[[0][2,3,4,5,6,7,][1]]	6	2000000	53.8155	53.8155	0	1.11492e+08	99.9997	37.2193	37.2193	
12791	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	96.3866	96.3866	0	1.76373e+08	99.9996	41.6515	41.6515	
15199	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1200000	72.8529	72.8529	0	2.05974e+08	99.9996	36.0864	36.0864	
16995	[[0][2,3,4,5,][1]]	4	1700000	28.9521	28.9521	0	1.38159e+08	99.9997	29.2125	29.2125	
19198	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	94.6902	94.6902	0	1.90093e+08	99.9996	39.8025	39.8025	
20320	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	96.2888	96.1289	0.498903	1.87253e+08	99.9997	40.0357	40.0124	
21385	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	101.485	100.95	1.59883	1.78355e+08	99.9996	40.0633	40.0582	
22410	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	106.831	106.243	1.72879	1.69479e+08	99.9997	40.0418	40.0435	
23531	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	128.833	126.574	5.37396	1.42696e+08	99.9996	39.9962	40.0009	
24572	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	138.013	136.869	2.95906	1.31649e+08	99.9994	40.0953	40.0859	
25649	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	149.326	148.08	2.66768	1.21654e+08	99.9996	40.0331	40.0384	
26661	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	159.307	158.184	2.27096	1.13856e+08	99.9996	40.0805	40.0763	
27686	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	177.101	175.209	3.30326	1.02859e+08	99.9996	40.143	40.1363	
28718	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1200000	208.772	205.416	4.98203	8.78896e+07	99.9995	40.1111	40.1136	
28961	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	954.699	954.699	0	1.25703e+07	99.9975	40.781	40.781	
29165	[[0][2,3,4,5,6,7,][1]]	6	2000000	430.146	430.146	0	1.39486e+07	99.9985	36.1945	36.1945	
29425	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	811.672	811.672	0	2.09456e+07	99.9977	40.653	40.653	
29579	[[0][2,3,4,5,6,7,8,][1]]	7	1200000	1241.32	1241.32	0	5.63905e+06	99.9952	25.5626	25.5626	
29664	[[0][2,3,4,5,][1]]	4	1700000	23148.3	23148.3	0	172648	99.9104	29.4062	29.4062	
