TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
671	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	185.614	185.614	0	6.46524e+07	99.9992	43.9273	43.9273	
1663	[[0][2,3,4,5,6,7,][1]]	6	2000000	100.231	100.231	0	5.98614e+07	99.9996	37.4096	37.4096	
2845	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	178.866	178.866	0	9.50436e+07	99.9992	41.7645	41.7645	
4034	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2400000	173.482	173.482	0	5.76427e+07	99.9996	55.8811	55.8811	
5137	[[0][2,3,4,5,][1]]	4	1700000	46.1005	46.1005	0	8.67667e+07	99.9997	28.7735	28.7735	
6828	[[0][2,3,][1]]	2	1200000	15.0104	15.0104	0	1.3324e+08	99.9995	20.2379	20.2379	
7894	[[0][2,3,][1]]	2	1200000	15.0094	15.0095	0.00204246	1.33248e+08	99.9994	20.1025	20.1161	
8951	[[0][2,3,][1]]	2	1200000	15.1206	15.1095	0.220602	1.32367e+08	99.9994	20.0918	20.0942	
9999	[[0][2,3,][1]]	2	1200000	15.2696	15.2536	0.322355	1.31118e+08	99.9996	20.1845	20.1755	
11035	[[0][2,3,][1]]	2	1200000	15.4527	15.4328	0.400097	1.29596e+08	99.9996	20.1287	20.1334	
12064	[[0][2,3,][1]]	2	1200000	15.5392	15.5285	0.240874	1.28795e+08	99.9993	20.0952	20.099	
13078	[[0][2,3,][1]]	2	1200000	15.7855	15.7598	0.494804	1.26908e+08	99.9997	20.1351	20.1315	
14099	[[0][2,3,][1]]	2	1200000	15.665	15.6745	0.240094	1.27596e+08	99.9996	20.5725	20.5284	
15120	[[0][2,3,][1]]	2	1200000	15.6772	15.6769	0.0760875	1.27576e+08	99.9996	20.3312	20.351	
16146	[[0][2,3,][1]]	2	1200000	15.6069	15.6139	0.136674	1.28091e+08	99.9996	20.0222	20.0551	
17197	[[0][2,3,][1]]	2	1200000	15.2247	15.2636	0.766307	1.31038e+08	99.9995	20.1426	20.1338	
18259	[[0][2,3,][1]]	2	1200000	15.075	15.0938	0.447871	1.32507e+08	99.9996	20.0467	20.0554	
19342	[[0][2,3,][1]]	2	1200000	14.7892	14.8197	0.633212	1.3496e+08	99.9996	20.3018	20.2772	
20437	[[0][2,3,][1]]	2	1200000	14.6153	14.6358	0.46542	1.36654e+08	99.9996	20.1287	20.1435	
21546	[[0][2,3,][1]]	2	1200000	14.4325	14.4529	0.447369	1.38383e+08	99.9996	20.1318	20.133	
22674	[[0][2,3,][1]]	2	1200000	14.1911	14.2173	0.570718	1.40678e+08	99.9998	20.1568	20.1544	
24676	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	94.3457	94.3457	0	1.27192e+08	99.9993	42.7029	42.7029	
26423	[[0][2,3,4,5,6,7,][1]]	6	2000000	56.1625	56.1625	0	1.06833e+08	99.9997	38.2186	38.2186	
28578	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	97.6415	97.6415	0	1.74106e+08	99.9996	41.7054	41.7054	
31333	[[0][2,3,][1]]	2	1200000	10.4621	10.4621	0	1.91166e+08	99.9997	20.1205	20.1205	
33806	[[0][2,3,4,5,][1]]	4	1700000	28.5734	28.5734	0	1.3999e+08	99.9997	28.801	28.801	
36401	[[0][2,3,4,][1]]	3	1200000	14.9337	14.9337	0	2.00887e+08	99.9997	21.3664	21.3664	
37406	[[0][2,3,4,][1]]	3	1200000	14.9204	14.9217	0.0268332	2.01048e+08	99.9994	21.4153	21.4104	
38410	[[0][2,3,4,][1]]	3	1200000	14.9431	14.941	0.0437389	2.0079e+08	99.9997	21.3614	21.3663	
39417	[[0][2,3,4,][1]]	3	1200000	14.9048	14.9084	0.0741843	2.01229e+08	99.9997	21.7291	21.6928	
40437	[[0][2,3,4,][1]]	3	1200000	14.7183	14.7373	0.387578	2.03567e+08	99.9997	21.2208	21.268	
41463	[[0][2,3,4,][1]]	3	1200000	14.6249	14.6361	0.261432	2.04973e+08	99.9997	21.2851	21.2834	
42551	[[0][2,3,4,][1]]	3	1200000	14.3179	14.3497	0.67062	2.09237e+08	99.9997	21.3519	21.3451	
43712	[[0][2,3,4,][1]]	3	1200000	14.7213	14.6841	0.786799	2.04331e+08	99.9996	21.2445	21.2546	
44777	[[0][2,3,4,][1]]	3	1200000	14.9195	14.8959	0.533711	2.01404e+08	99.9997	21.3179	21.3115	
45921	[[0][2,3,4,][1]]	3	1200000	14.9414	14.9369	0.191521	2.00846e+08	99.9997	21.2071	21.2175	
46987	[[0][2,3,4,][1]]	3	1200000	14.9229	14.9243	0.0667911	2.01014e+08	99.9998	21.2522	21.2487	
48133	[[0][2,3,4,][1]]	3	1200000	14.922	14.9223	0.0216238	2.01041e+08	99.9997	21.3228	21.3154	
49194	[[0][2,3,4,][1]]	3	1200000	14.9683	14.9637	0.0926052	2.00485e+08	99.9998	21.8488	21.7954	
50388	[[0][2,3,4,][1]]	3	1200000	15.0704	15.0597	0.214519	1.99207e+08	99.9996	21.3856	21.4266	
51580	[[0][2,3,4,][1]]	3	1200000	15.1043	15.0999	0.111461	1.98677e+08	99.9996	21.3681	21.3739	
52747	[[0][2,3,4,][1]]	3	1200000	15.3942	15.3648	0.575827	1.95258e+08	99.9997	21.3298	21.3342	
53892	[[0][2,3,4,][1]]	3	1200000	15.7131	15.6782	0.689894	1.91357e+08	99.9997	21.8467	21.7955	
55040	[[0][2,3,4,][1]]	3	1200000	15.6856	15.6849	0.218526	1.91267e+08	99.9997	21.8511	21.8456	
56180	[[0][2,3,4,][1]]	3	1200000	15.7701	15.7616	0.176224	1.90336e+08	99.9997	21.3179	21.3707	
57322	[[0][2,3,4,][1]]	3	1200000	15.7718	15.7708	0.0589816	1.90225e+08	99.9997	21.3531	21.3549	
58460	[[0][2,3,4,][1]]	3	1200000	15.8126	15.8085	0.0815899	1.89771e+08	99.9997	21.4171	21.4108	
59602	[[0][2,3,4,][1]]	3	1200000	15.7569	15.7621	0.101474	1.9033e+08	99.9996	21.3862	21.3886	
60742	[[0][2,3,4,][1]]	3	1200000	15.7905	15.7877	0.0628186	1.90021e+08	99.9997	21.476	21.4672	
61877	[[0][2,3,4,][1]]	3	1200000	15.8486	15.8425	0.117037	1.89364e+08	99.9997	21.3149	21.3301	
63004	[[0][2,3,4,][1]]	3	1200000	15.9655	15.9532	0.234226	1.88051e+08	99.9997	21.4218	21.4126	
64127	[[0][2,3,4,][1]]	3	1200000	16.0248	16.0176	0.153032	1.87293e+08	99.9995	21.3767	21.3803	
65241	[[0][2,3,4,][1]]	3	1200000	16.1474	16.1344	0.246066	1.85938e+08	99.9998	21.3951	21.3936	
66360	[[0][2,3,4,][1]]	3	1200000	16.095	16.0989	0.107144	1.86347e+08	99.9997	21.4443	21.4392	
67482	[[0][2,3,4,][1]]	3	1200000	16.045	16.0504	0.106317	1.8691e+08	99.9996	21.4059	21.4093	
68605	[[0][2,3,4,][1]]	3	1200000	16.0155	16.019	0.073542	1.87277e+08	99.9996	21.3694	21.3734	
69707	[[0][2,3,4,][1]]	3	1200000	16.3156	16.286	0.546822	1.84213e+08	99.9997	21.6448	21.6176	
70798	[[0][2,3,4,][1]]	3	1200000	16.4758	16.4568	0.386059	1.82298e+08	99.9997	21.2695	21.3043	
71870	[[0][2,3,4,][1]]	3	1200000	16.7846	16.7518	0.599091	1.79091e+08	99.9996	21.291	21.2924	
72940	[[0][2,3,4,][1]]	3	1200000	16.8231	16.8159	0.227571	1.78403e+08	99.9997	21.3586	21.352	
74000	[[0][2,3,4,][1]]	3	1200000	16.954	16.9402	0.254727	1.77094e+08	99.9997	21.2973	21.3028	
75172	[[0][2,3,4,][1]]	3	1200000	17.2919	17.2567	0.616547	1.73851e+08	99.9997	21.3819	21.374	
76244	[[0][2,3,4,][1]]	3	1200000	17.4607	17.4403	0.400412	1.72017e+08	99.9996	21.3869	21.3856	
77402	[[0][2,3,4,][1]]	3	1200000	17.502	17.4959	0.16469	1.71469e+08	99.9997	21.4405	21.435	
78464	[[0][2,3,4,][1]]	3	1200000	17.6229	17.6102	0.222545	1.70356e+08	99.9997	21.3572	21.365	
79619	[[0][2,3,4,][1]]	3	1200000	17.5665	17.5709	0.102667	1.70737e+08	99.9997	21.6385	21.6112	
80668	[[0][2,3,4,][1]]	3	1200000	17.8046	17.7813	0.395688	1.68719e+08	99.9997	21.4051	21.4257	
81800	[[0][2,3,4,][1]]	3	1200000	18.5134	18.4402	1.19717	1.62712e+08	99.9996	21.3799	21.3845	
82909	[[0][2,3,4,][1]]	3	1200000	18.9148	18.8674	0.840536	1.59016e+08	99.9997	21.2908	21.3001	
83950	[[0][2,3,4,][1]]	3	1200000	20.0842	19.9626	1.84594	1.50336e+08	99.9997	21.3373	21.3336	
85072	[[0][2,3,4,][1]]	3	1200000	21.3515	21.2126	2.0397	1.41488e+08	99.9997	21.345	21.3438	
86173	[[0][2,3,4,][1]]	3	1200000	21.7834	21.7263	1.00884	1.38096e+08	99.9997	21.3103	21.3137	
87251	[[0][2,3,4,][1]]	3	1200000	22.2396	22.1883	0.761074	1.35214e+08	99.9996	21.7796	21.733	
88305	[[0][2,3,4,][1]]	3	1200000	22.7566	22.6998	0.787084	1.32168e+08	99.9996	21.4776	21.5032	
89329	[[0][2,3,4,][1]]	3	1200000	23.3965	23.3268	0.9282	1.28618e+08	99.9996	21.3937	21.4046	
90350	[[0][2,3,4,][1]]	3	1200000	23.5031	23.4855	0.368384	1.2774e+08	99.9996	21.8191	21.7776	
91478	[[0][2,3,4,][1]]	3	1200000	23.6041	23.5922	0.190191	1.27161e+08	99.9995	21.4652	21.4964	
92532	[[0][2,3,4,][1]]	3	1200000	23.1806	23.2218	0.535235	1.29192e+08	99.9995	21.3879	21.3988	
93584	[[0][2,3,4,][1]]	3	1200000	22.8189	22.8591	0.556018	1.31242e+08	99.9996	21.4732	21.4658	
94649	[[0][2,3,4,][1]]	3	1200000	22.5503	22.5812	0.447286	1.32856e+08	99.9997	21.3554	21.3665	
95698	[[0][2,3,4,][1]]	3	1200000	22.8474	22.8208	0.376933	1.31461e+08	99.9996	21.3474	21.3493	
96807	[[0][2,3,4,][1]]	3	1200000	23.9725	23.8574	1.4528	1.25774e+08	99.9996	21.4013	21.3961	
97907	[[0][2,3,4,][1]]	3	1200000	24.8413	24.7429	1.27258	1.21267e+08	99.9997	21.4434	21.4387	
98981	[[0][2,3,4,][1]]	3	1200000	25.1242	25.0861	0.60457	1.19592e+08	99.9996	21.372	21.3787	
100040	[[0][2,3,4,][1]]	3	1200000	25.4786	25.4394	0.499781	1.1793e+08	99.9995	21.4663	21.4576	
101080	[[0][2,3,4,][1]]	3	1200000	25.9469	25.8961	0.608114	1.15851e+08	99.9996	21.4008	21.4065	
102128	[[0][2,3,4,][1]]	3	1200000	25.788	25.7988	0.230389	1.16285e+08	99.9995	21.4158	21.4148	
103196	[[0][2,3,4,][1]]	3	1200000	25.2817	25.3334	0.61679	1.18425e+08	99.9997	21.4157	21.4156	
104237	[[0][2,3,4,][1]]	3	1200000	25.908	25.8506	0.693677	1.16057e+08	99.9996	21.4317	21.4301	
105265	[[0][2,3,4,][1]]	3	1200000	26.2436	26.2043	0.499303	1.14487e+08	99.9993	21.312	21.3238	
106367	[[0][2,3,4,][1]]	3	1200000	27.1762	27.079	1.08756	1.108e+08	99.9996	21.2983	21.3009	
107417	[[0][2,3,4,][1]]	3	1200000	28.5383	28.3924	1.57639	1.05689e+08	99.9996	21.3631	21.3569	
108450	[[0][2,3,4,][1]]	3	1200000	29.025	28.9617	0.817456	1.03592e+08	99.9996	21.3838	21.3811	
109459	[[0][2,3,4,][1]]	3	1200000	29.7042	29.6299	0.793062	1.01255e+08	99.9996	21.3386	21.3429	
110466	[[0][2,3,4,][1]]	3	1200000	29.8424	29.8212	0.328314	1.00601e+08	99.9996	21.3472	21.3467	
111486	[[0][2,3,4,][1]]	3	1200000	29.3992	29.4414	0.442652	1.01899e+08	99.9996	21.3586	21.3575	
112498	[[0][2,3,4,][1]]	3	1200000	29.6077	29.5911	0.218705	1.01382e+08	99.9996	21.2728	21.2813	
113596	[[0][2,3,4,][1]]	3	1200000	30.0962	30.0457	0.508956	9.98501e+07	99.9997	21.334	21.3287	
114894	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	166.909	166.909	0	7.18957e+07	99.9993	42.72	42.72	
115594	[[0][2,3,4,5,6,7,][1]]	6	2000000	163.246	163.246	0	3.67543e+07	99.9993	41.94	41.94	
116010	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1224.19	1224.19	0	1.38941e+07	99.9962	41.6477	41.6477	
116359	[[0][2,][1]]	1	1200000	42.2101	42.2101	0	2.36907e+07	99.9989	18.9346	18.9346	
116671	[[0][2,3,4,5,][1]]	4	1700000	229.208	229.208	0	1.74512e+07	99.9986	28.7251	28.7251	
116995	[[0][2,][1]]	1	1200000	43.3175	43.3175	0	2.30851e+07	99.9989	18.9375	18.9375	
118005	[[0][2,][1]]	1	1200000	44.575	44.4493	0.848731	2.2499e+07	99.9989	18.8947	18.8989	
119010	[[0][2,][1]]	1	1200000	43.7959	43.8613	0.523133	2.27994e+07	99.9983	18.8735	18.8761	
120019	[[0][2,][1]]	1	1200000	48.5226	48.0565	2.91383	2.08276e+07	99.9982	18.9458	18.9389	
121025	[[0][2,][1]]	1	1200000	112.326	105.899	18.2116	1.0095e+07	99.9974	18.8746	18.881	
121137	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	59116.1	59116.1	0	202894	99.921	37.5387	37.5387	
