TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
687	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1700000	303.549	303.549	0	6.91841e+07	99.9992	62.6855	62.6855	
1940	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	172.886	172.886	0	9.83331e+07	99.9994	41.5233	41.5233	
3408	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	1600000	196.565	196.565	0	9.15724e+07	99.9982	52.8627	52.8627	
5031	[[0][2,3,4,5,6,][1]]	5	1300000	42.4331	42.4331	0	1.17832e+08	99.9997	24.9694	24.9694	
6802	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	1400000	84.3316	84.3316	0	1.18579e+08	99.9995	33.5758	33.5758	
9043	[[0][2,3,4,][1]]	3	1200000	17.8628	17.8628	0	1.67945e+08	99.9989	21.3457	21.3457	
11280	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1600000	127.954	127.954	0	1.3286e+08	99.9994	51.1364	51.1364	
13744	[[0][2,3,4,][1]]	3	1200000	16.0264	16.0264	0	1.87191e+08	99.9996	21.3439	21.3439	
16955	[[0][2,3,4,5,][1]]	4	1200000	21.0479	21.0479	0	1.90042e+08	99.9996	22.5398	22.5398	
18096	[[0][2,3,4,5,][1]]	4	1200000	21.0434	21.0438	0.00644314	1.90079e+08	99.9997	22.5099	22.5128	
19237	[[0][2,3,4,5,][1]]	4	1200000	21.0245	21.0265	0.0276079	1.90236e+08	99.9998	22.3723	22.3864	
20380	[[0][2,3,4,5,][1]]	4	1200000	21.0258	21.0259	0.00878088	1.90242e+08	99.9998	22.3483	22.3521	
21526	[[0][2,3,4,5,][1]]	4	1200000	20.9393	20.9479	0.124043	1.9095e+08	99.9998	22.3739	22.3717	
22686	[[0][2,3,4,5,][1]]	4	1200000	20.7262	20.7484	0.32296	1.92788e+08	99.9998	22.3926	22.3905	
23878	[[0][2,3,4,5,][1]]	4	1200000	20.1573	20.2164	0.883439	1.97874e+08	99.9998	22.331	22.3369	
25077	[[0][2,3,4,5,][1]]	4	1200000	20.0376	20.0555	0.388359	1.99449e+08	99.9998	22.3377	22.3377	
26277	[[0][2,3,4,5,][1]]	4	1200000	19.91	19.9245	0.251591	2.00758e+08	99.9997	22.3171	22.3192	
27477	[[0][2,3,4,5,][1]]	4	1200000	19.896	19.8988	0.0905527	2.01016e+08	99.9996	22.3709	22.3657	
28493	[[0][2,3,4,5,][1]]	4	1200000	19.9211	19.9189	0.0441483	2.00814e+08	99.9998	22.3045	22.3106	
29510	[[0][2,3,4,5,][1]]	4	1200000	19.6861	19.7094	0.354585	2.02951e+08	99.9998	22.52	22.499	
30593	[[0][2,3,4,5,][1]]	4	1200000	19.1903	19.2422	0.817382	2.08025e+08	99.9998	22.3911	22.4019	
31763	[[0][2,3,4,5,][1]]	4	1200000	19.5537	19.5225	0.54214	2.04911e+08	99.9998	22.4896	22.4809	
32959	[[0][2,3,4,5,][1]]	4	1200000	19.8237	19.7936	0.486847	2.02091e+08	99.9998	22.3869	22.3963	
34034	[[0][2,3,4,5,][1]]	4	1200000	19.901	19.8903	0.222959	2.01104e+08	99.9997	22.4486	22.4434	
35184	[[0][2,3,4,5,][1]]	4	1200000	19.8962	19.8956	0.0710431	2.01049e+08	99.9998	22.3827	22.3888	
36382	[[0][2,3,4,5,][1]]	4	1200000	19.9512	19.9456	0.0865905	2.00545e+08	99.9998	22.4219	22.4186	
37578	[[0][2,3,4,5,][1]]	4	1200000	20.1205	20.103	0.262368	1.98976e+08	99.9997	22.7246	22.694	
38755	[[0][2,3,4,5,][1]]	4	1200000	20.3645	20.3384	0.394412	1.96675e+08	99.9996	22.3864	22.4172	
39901	[[0][2,3,4,5,][1]]	4	1200000	20.9367	20.8769	0.86831	1.91614e+08	99.9998	22.4207	22.4204	
41047	[[0][2,3,4,5,][1]]	4	1200000	20.9308	20.9254	0.284659	1.91156e+08	99.9997	22.431	22.4299	
42188	[[0][2,3,4,5,][1]]	4	1200000	21.043	21.0313	0.190149	1.90193e+08	99.9997	22.4415	22.4403	
43327	[[0][2,3,4,5,][1]]	4	1200000	21.0645	21.0612	0.076494	1.89922e+08	99.9998	22.4394	22.4395	
44470	[[0][2,3,4,5,][1]]	4	1200000	21.0112	21.0162	0.0753573	1.90329e+08	99.9998	22.4657	22.463	
45607	[[0][2,3,4,5,][1]]	4	1200000	21.1035	21.0947	0.126343	1.8962e+08	99.9997	22.4648	22.4646	
46786	[[0][2,3,4,5,][1]]	4	1200000	21.2871	21.2679	0.274204	1.88078e+08	99.9998	22.5167	22.5115	
47905	[[0][2,3,4,5,][1]]	4	1200000	21.4258	21.41	0.237533	1.86829e+08	99.9997	22.398	22.4093	
49022	[[0][2,3,4,5,][1]]	4	1200000	21.4879	21.4801	0.131996	1.86219e+08	99.9998	22.396	22.3974	
50147	[[0][2,3,4,5,][1]]	4	1200000	21.357	21.3693	0.17782	1.87184e+08	99.9998	22.4201	22.4178	
51259	[[0][2,3,4,5,][1]]	4	1200000	21.5415	21.5243	0.24634	1.85838e+08	99.9998	22.489	22.4819	
52354	[[0][2,3,4,5,][1]]	4	1200000	21.9058	21.8676	0.529032	1.82924e+08	99.9998	22.4058	22.4134	
53424	[[0][2,3,4,5,][1]]	4	1200000	22.399	22.3458	0.731876	1.79014e+08	99.9998	22.5737	22.5577	
54493	[[0][2,3,4,5,][1]]	4	1200000	22.4302	22.4218	0.256804	1.78399e+08	99.9998	22.3554	22.3756	
55664	[[0][2,3,4,5,][1]]	4	1200000	22.9815	22.9255	0.736747	1.74487e+08	99.9998	22.8702	22.8207	
56740	[[0][2,3,4,5,][1]]	4	1200000	23.2924	23.2557	0.525989	1.72006e+08	99.9998	22.4606	22.4966	
57890	[[0][2,3,4,5,][1]]	4	1200000	23.4027	23.388	0.250878	1.71028e+08	99.9996	22.3473	22.3622	
58961	[[0][2,3,4,5,][1]]	4	1200000	23.4291	23.425	0.0950435	1.70758e+08	99.9997	22.4329	22.4258	
60085	[[0][2,3,4,5,][1]]	4	1200000	23.8978	23.8506	0.595548	1.67717e+08	99.9997	22.3094	22.321	
61208	[[0][2,3,4,5,][1]]	4	1200000	24.931	24.823	1.31826	1.6117e+08	99.9998	22.7982	22.7505	
62298	[[0][2,3,4,5,][1]]	4	1200000	26.5027	26.3347	1.95344	1.51953e+08	99.9997	22.4498	22.4799	
63416	[[0][2,3,4,5,][1]]	4	1200000	28.5842	28.3593	2.44783	1.41139e+08	99.9997	22.9114	22.8682	
64504	[[0][2,3,4,5,][1]]	4	1200000	29.3611	29.2609	1.27196	1.36725e+08	99.9997	22.9817	22.9704	
65561	[[0][2,3,4,5,][1]]	4	1200000	30.2503	30.1513	1.05893	1.32679e+08	99.9997	22.6864	22.7148	
66683	[[0][2,3,4,5,][1]]	4	1200000	31.267	31.1554	1.12211	1.28405e+08	99.9997	22.4621	22.4874	
67730	[[0][2,3,4,5,][1]]	4	1200000	31.4323	31.4046	0.440297	1.27372e+08	99.9997	22.4708	22.4724	
68765	[[0][2,3,4,5,][1]]	4	1200000	30.9296	30.9771	0.481152	1.2913e+08	99.9997	22.3793	22.3887	
69822	[[0][2,3,4,5,][1]]	4	1200000	30.3071	30.3741	0.679702	1.31697e+08	99.9997	22.4198	22.4167	
70882	[[0][2,3,4,5,][1]]	4	1200000	30.1535	30.1756	0.30808	1.32558e+08	99.9997	22.4194	22.4191	
71983	[[0][2,3,4,5,][1]]	4	1200000	31.8567	31.6886	1.59421	1.26262e+08	99.9997	22.4616	22.4574	
73091	[[0][2,3,4,5,][1]]	4	1200000	33.1913	33.041	1.44755	1.21088e+08	99.9997	22.4526	22.4531	
74479	[[0][2,3,4,5,][1]]	4	1800000	51.5258	51.5258	0	7.76308e+07	99.9997	30.1174	30.1174	
76031	[[0][2,3,4,5,][1]]	4	1200000	33.7557	33.7557	0	1.18498e+08	99.9996	22.451	22.451	
78255	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1500000	145.734	145.734	0	8.23412e+07	99.9995	39.7623	39.7623	
80038	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	2200000	3128.49	3128.49	0	5.75524e+06	99.9974	66.9789	66.9789	
