TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
91	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	14987.7	14987.7	0	1.59574e+06	99.9882	45.2013	45.2013	
480	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	443.221	443.221	0	5.03981e+07	99.9995	42.7898	42.7898	
785	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	823.546	823.546	0	3.0511e+07	99.9984	42.1366	42.1366	
1194	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,2,3,4,5,6,7,8,9,10,][1]]	13	2000000	395.965	395.965	0	6.00465e+07	99.9977	56.2971	56.2971	
4290	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	57.6226	57.6226	0	3.84985e+08	99.9999	29.2057	29.2057	
8023	[[0][2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,4,5,6,2,3,][1]]	5	1300000	53.4375	53.4375	0	4.16879e+08	99.9999	25.458	25.458	
9080	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	210.001	210.001	0	1.15432e+08	99.9996	61.842	61.842	
13081	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	1200000	46.2235	46.2235	0	4.83636e+08	99.9999	25.357	25.357	
15793	[[0][2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,][1]]	9	1500000	80.7021	80.7021	0	2.8429e+08	99.9999	34.3153	34.3153	
19994	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	45.8815	45.8815	0	4.91338e+08	99.9999	27.7231	27.7231	
21901	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,2,3,4,][1]]	19	1900000	159.14	159.14	0	1.52133e+08	99.9997	65.7861	65.7861	
26686	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	39.437	39.437	0	5.71458e+08	99.9999	27.6807	27.6807	
35585	[[0][2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,][1]]	2	2300000	19.6647	19.6647	0	1.11892e+09	100	32.9283	32.9283	
40098	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	42.5748	42.5748	0	5.29581e+08	99.9998	27.6573	27.6573	
42873	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,2,3,4,5,6,7,8,9,10,][1]]	13	1200000	74.7104	74.7104	0	3.16975e+08	99.9998	33.7587	33.7587	
46198	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	58.3058	58.3058	0	3.86761e+08	99.9999	27.7312	27.7312	
47762	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	61.6404	61.307	1.63177	3.6772e+08	99.9998	27.6555	27.663	
49227	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	64.5634	64.2377	1.59853	3.52524e+08	99.9998	27.6459	27.6476	
50622	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	68.3773	67.9634	1.88871	3.32106e+08	99.9998	27.6722	27.6697	
51988	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	70.273	70.042	1.1465	3.23644e+08	99.9999	27.7139	27.7095	
53259	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	77.5634	76.8112	2.95613	2.94532e+08	99.9998	27.6676	27.6718	
54540	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	78.9219	78.7109	1.2163	2.86742e+08	99.9999	27.5687	27.579	
55824	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	80.8136	80.6033	0.868082	2.8099e+08	99.9998	27.6514	27.6441	
56983	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	106.158	103.602	7.40284	2.24835e+08	99.9998	27.656	27.6548	
58053	[[0][2,3,4,5,6,7,8,9,2,3,4,5,6,7,8,9,2,3,4,5,6,7,][1]]	8	1200000	303.759	283.743	21.1797	9.27466e+07	99.9996	27.7065	27.7014	
58335	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	704.611	704.611	0	3.27101e+07	99.9989	42.9395	42.9395	
58514	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	7212.55	7212.55	0	1.71435e+06	59.0867	38.7856	38.7856	
