TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
672	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	198.031	198.031	0	6.061e+07	99.9987	46.2146	46.2146	
1486	[[0][2,3,4,5,6,7,][1]]	6	2000000	98.6211	98.6211	0	6.08387e+07	99.9996	37.3876	37.3876	
2592	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	180.954	180.954	0	9.39462e+07	99.9993	41.763	41.763	
3588	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1900000	204.098	204.098	0	7.3494e+07	99.9995	57.2798	57.2798	
4768	[[0][2,3,4,5,][1]]	4	1700000	42.5444	42.5444	0	9.40189e+07	99.9996	29.1631	29.1631	
6293	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1200000	157.651	157.651	0	1.33206e+08	99.9995	43.9264	43.9264	
7627	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	140	140	0	9.99993e+07	99.9988	61.3923	61.3923	
9785	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	104.914	104.914	0	1.90632e+08	99.9996	42.6775	42.6775	
11748	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	55.9818	55.9818	0	1.60766e+08	99.9997	33.9768	33.9768	
14086	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	100.238	100.238	0	1.99525e+08	99.9997	42.5864	42.5864	
15700	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	161.434	161.434	0	1.17696e+08	99.9996	65.6042	65.6042	
17615	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	132.166	132.166	0	1.51329e+08	99.9996	42.65	42.65	
18767	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	152.025	150.039	3.97074	1.33535e+08	99.9995	42.5501	42.5601	
19901	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	158.138	157.328	1.95423	1.27179e+08	99.9996	42.5642	42.5638	
21028	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	174.738	172.997	3.07104	1.15729e+08	99.9995	42.6398	42.6322	
22144	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	196.312	193.981	3.70837	1.03263e+08	99.9996	42.5717	42.5777	
23248	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	353.322	337.388	14.1844	6.12907e+07	99.9992	42.6851	42.6743	
23461	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	710.713	710.713	0	1.6885e+07	99.9983	42.8854	42.8854	
23622	[[0][2,3,4,5,6,7,][1]]	6	2000000	1471.02	1471.02	0	4.08029e+06	99.9965	37.4862	37.4862	
23708	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	83534.9	83534.9	0	203393	99.8854	30.8436	30.8436	
