TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
737	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	187.733	187.733	0	6.39263e+07	99.998	43.8711	43.8711	
1557	[[0][2,3,4,5,6,7,][1]]	6	2000000	99.8451	99.8451	0	6.0093e+07	99.9994	37.7231	37.7231	
2667	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	179.292	179.292	0	9.48181e+07	99.9994	41.9328	41.9328	
3748	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1700000	258.945	258.945	0	8.49608e+07	99.9993	63.7194	63.7194	
4919	[[0][2,3,4,5,][1]]	4	1700000	44.4763	44.4763	0	8.99353e+07	99.9997	29.4801	29.4801	
6460	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	58.4421	58.4421	0	1.36888e+08	99.9996	27.6077	27.6077	
7488	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	54.9781	55.3245	1.87835	1.44652e+08	99.9993	27.5624	27.5669	
8639	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	48.8193	49.4698	4.00048	1.61949e+08	99.9996	27.5036	27.51	
9811	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	46.8059	47.0723	2.1564	1.70021e+08	99.9997	28.0449	27.9914	
10879	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	46.225	46.3097	0.884134	1.72761e+08	99.9997	27.8355	27.8511	
11952	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	44.7903	44.9423	1.05438	1.78025e+08	99.9997	27.6066	27.6311	
13061	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	43.4126	43.5655	1.10811	1.83654e+08	99.9998	27.5587	27.5659	
14181	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.8106	42.8861	0.636843	1.86547e+08	99.9997	27.6122	27.6076	
15307	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.6767	42.6976	0.250141	1.87365e+08	99.9996	28.0787	28.0316	
