TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
586	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	221.675	221.675	0	5.41373e+07	99.9985	44.2279	44.2279	
1365	[[0][2,3,4,5,6,7,][1]]	6	2000000	99.4894	99.4894	0	6.03078e+07	99.9996	36.765	36.765	
2443	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	181.905	181.905	0	9.34561e+07	99.9995	41.5696	41.5696	
3463	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1800000	179.445	179.445	0	7.80182e+07	99.9995	51.5926	51.5926	
4585	[[0][2,3,4,5,][1]]	4	1700000	45.4156	45.4156	0	8.80752e+07	99.9996	28.5514	28.5514	
6117	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1200000	162.733	162.733	0	1.29047e+08	99.9994	43.6111	43.6111	
7406	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	143.026	143.026	0	9.78827e+07	99.9983	60.6976	60.6976	
9547	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	106.003	106.003	0	1.88674e+08	99.9996	42.203	42.203	
11493	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	56.2583	56.2583	0	1.59976e+08	99.9997	33.8084	33.8084	
13925	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	99.1455	99.1455	0	2.01723e+08	99.9996	42.2042	42.2042	
15536	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	160.88	160.88	0	1.181e+08	99.9997	64.9692	64.9692	
17533	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	120.926	120.926	0	1.65393e+08	99.9995	42.2459	42.2459	
18631	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	146.793	144.207	5.38122	1.39162e+08	99.9996	42.5529	42.5222	
19662	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	154.12	153.129	2.51799	1.30708e+08	99.9996	42.539	42.5373	
20736	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	169.113	167.515	2.95375	1.19508e+08	99.9996	42.5308	42.5315	
21785	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	188.733	186.612	3.51267	1.07324e+08	99.9995	42.4402	42.4493	
22860	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	205.214	203.353	2.92748	9.84482e+07	99.9994	42.3919	42.3976	
23866	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1200000	720.474	668.762	23.1992	3.48397e+07	99.9988	42.5587	42.5426	
23953	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	73859.2	73859.2	0	162351	99.902	28.64	28.64	
