TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
771	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	193.626	193.626	0	6.19873e+07	99.9992	44.5741	44.5741	
1751	[[0][2,3,4,5,6,7,][1]]	6	2000000	98.9656	98.9656	0	6.06271e+07	99.9996	37.2307	37.2307	
2928	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	180.33	180.33	0	9.42719e+07	99.9994	41.7281	41.7281	
4155	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	2200000	190.299	190.299	0	6.30584e+07	99.9995	59.9986	59.9986	
5319	[[0][2,3,4,5,][1]]	4	1700000	44.8328	44.8328	0	8.92206e+07	99.9997	28.7893	28.7893	
7021	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	61.4488	61.4488	0	1.30189e+08	99.9997	27.3835	27.3835	
8044	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	62.6142	62.4977	0.559399	1.28009e+08	99.9996	27.4616	27.4537	
9107	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	60.4788	60.6806	1.01463	1.3185e+08	99.9991	27.4182	27.4218	
10247	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	56.5463	56.9597	2.20417	1.40516e+08	99.9996	27.4849	27.4786	
11382	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	49.6566	50.3869	4.41907	1.5905e+08	99.9997	27.5531	27.5457	
12551	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	46.9167	47.2637	2.65917	1.69368e+08	99.9995	27.4178	27.4306	
13614	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	46.4246	46.5085	1.01156	1.72027e+08	99.9997	27.406	27.4085	
14682	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	45.037	45.1842	1.03096	1.77071e+08	99.9997	27.3152	27.3245	
15781	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	43.8375	43.9722	0.977938	1.8195e+08	99.9998	27.4051	27.397	
16905	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.7262	42.8508	0.928251	1.8671e+08	99.9997	27.3162	27.3243	
18027	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.8323	42.8341	0.293939	1.86768e+08	99.9997	27.4137	27.4048	
19166	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.1892	42.2537	0.4675	1.89336e+08	99.9998	27.4271	27.4249	
20306	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.0316	42.0538	0.217156	1.90233e+08	99.9998	27.4566	27.4534	
21452	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	41.9301	41.9425	0.112105	1.90737e+08	99.9998	27.3685	27.377	
22630	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	40.8401	40.9504	0.808402	1.95371e+08	99.9998	27.4405	27.4341	
23817	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	39.9172	40.0205	0.817479	1.9991e+08	99.9998	27.4701	27.4665	
25013	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	39.7831	39.8069	0.315523	2.00972e+08	99.9998	27.5546	27.5458	
26217	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	38.781	38.8836	0.79801	2.05834e+08	99.9998	27.4961	27.5011	
27411	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	39.4805	39.4208	0.517969	2.02952e+08	99.9998	27.5076	27.5069	
28496	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	39.7613	39.7272	0.304171	2.01375e+08	99.9996	27.4215	27.43	
29692	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	40.1271	40.0871	0.314026	1.99567e+08	99.9997	27.2974	27.3107	
30845	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	41.5455	41.3997	1.06123	1.93261e+08	99.9998	27.3937	27.3854	
31987	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	41.9892	41.9302	0.536344	1.90799e+08	99.9998	27.4351	27.4301	
33129	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.0621	42.0489	0.19353	1.90255e+08	99.9997	27.4166	27.418	
34258	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.465	42.4234	0.300445	1.88577e+08	99.9998	27.3925	27.395	
35376	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.9017	42.8538	0.34778	1.86683e+08	99.9997	27.4269	27.4237	
36491	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	42.9813	42.9685	0.141223	1.86183e+08	99.9997	27.4532	27.4502	
37568	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	44.4626	44.3132	1.01243	1.80552e+08	99.9998	27.4554	27.4549	
38738	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	45.6311	45.4993	0.923237	1.75842e+08	99.9998	27.3929	27.3991	
39816	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	46.7274	46.6046	0.840328	1.71669e+08	99.9998	27.3009	27.3107	
40967	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	47.795	47.6759	0.792798	1.6781e+08	99.9997	27.4578	27.4431	
42034	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	52.7236	52.2189	2.90896	1.53343e+08	99.9998	27.4082	27.4117	
43123	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	58.5736	57.9381	3.39328	1.38257e+08	99.9997	27.3903	27.3924	
44155	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	61.9138	61.5163	2.18645	1.30116e+08	99.9997	27.4014	27.4005	
45187	[[0][2,3,4,5,6,7,8,9,][1]]	8	1200000	62.1251	62.0642	0.745821	1.28906e+08	99.9995	27.3202	27.3282	
