TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
714	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1700000	303.651	303.651	0	6.916e+07	99.9987	62.7575	62.7575	
1727	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	278.017	278.017	0	6.83419e+07	99.9995	65.7455	65.7455	
2879	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1800000	160.681	160.681	0	8.09052e+07	99.9982	50.2878	50.2878	
4328	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	205.711	205.711	0	1.06946e+08	99.9995	55.8348	55.8348	
6230	[[0][2,3,4,5,6,7,][1]]	6	1600000	46.6548	46.6548	0	1.28604e+08	99.9997	30.9712	30.9712	
8252	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	1600000	142.458	142.458	0	1.40392e+08	99.9997	56.6243	56.6243	
10464	[[0][2,3,4,5,6,][1]]	5	1500000	32.7469	32.7469	0	1.52686e+08	99.9997	28.945	28.945	
12349	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2400000	99.6553	99.6553	0	1.00346e+08	99.9998	55.3934	55.3934	
14400	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1500000	131.264	131.264	0	1.59984e+08	99.9996	54.734	54.734	
16618	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	148.408	148.408	0	1.4824e+08	99.9996	55.8788	55.8788	
18301	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2200000	116.169	116.169	0	8.60817e+07	99.9997	51.4911	51.4911	
19674	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	211.711	211.711	0	1.03915e+08	99.9995	56.036	56.036	
20743	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	225.989	224.561	1.90744	9.80068e+07	99.9995	55.9992	56.0029	
21755	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	260.612	257.007	4.24108	8.57756e+07	99.9993	55.8798	55.8921	
22771	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1500000	458.529	438.377	13.8134	5.17619e+07	99.9993	55.9433	55.9382	
23962	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1500000	8788.08	8788.08	0	1.93558e+06	99.9892	26.827	26.827	
