#Workers	Frequency	Time	Watts	Bandwidth
1	1200000	502.26	18.9515	16.3103
1	1300000	463.514	19.7627	17.6737
1	1400000	430.33	20.7399	19.0366
1	1500000	401.584	21.6383	20.3992
1	1600000	376.419	22.5444	21.763
1	1700000	354.218	23.4504	23.127
1	1800000	334.503	24.556	24.4901
1	1900000	316.845	25.3247	25.8549
1	2000000	300.981	26.3082	27.2177
1	2100000	286.617	27.3798	28.5817
1	2200000	273.557	28.3613	29.9462
1	2300000	261.653	29.4332	31.3086
1	2400000	250.733	30.6012	32.6722
2	1200000	251.23	20.0596	32.6076
2	1300000	231.842	21.1424	35.3344
2	1400000	215.232	22.1259	38.0613
2	1500000	200.839	23.1921	40.7889
2	1600000	188.252	24.2304	43.5161
2	1700000	177.152	25.1863	46.2428
2	1800000	167.284	26.3856	48.9706
2	1900000	158.457	27.4902	51.6986
2	2000000	150.512	28.6008	54.4276
2	2100000	143.331	29.8422	57.1544
2	2200000	136.808	30.9262	59.8795
2	2300000	130.846	32.2649	62.608
2	2400000	125.383	33.3272	65.3358
3	1200000	167.518	21.3833	48.9022
3	1300000	154.586	22.5548	52.9932
3	1400000	143.511	23.5921	57.0827
3	1500000	133.919	24.8039	61.1713
3	1600000	125.525	25.7579	65.2619
3	1700000	118.121	27.0566	69.3526
3	1800000	111.543	28.3519	73.4425
3	1900000	105.656	29.6498	77.5346
3	2000000	100.361	30.8392	81.6253
3	2100000	95.571	32.078	85.7164
3	2200000	91.219	33.4533	89.8059
3	2300000	87.243	34.8057	93.8987
3	2400000	83.602	36.125	97.9881
4	1200000	125.675	22.5874	65.184
4	1300000	115.97	24.017	70.639
4	1400000	107.658	25.1855	76.0928
4	1500000	100.457	26.2739	81.5473
4	1600000	94.16	27.6098	87.0008
4	1700000	88.606	28.7264	92.4542
4	1800000	83.669	30.4215	97.9096
4	1900000	79.254	31.6517	103.364
4	2000000	75.28	32.8686	108.82
4	2100000	71.685	34.4299	114.278
4	2200000	68.421	35.6963	119.729
4	2300000	65.439	37.0951	125.185
4	2400000	62.708	39.1448	130.637
5	1200000	100.553	23.8567	81.4695
5	1300000	92.788	25.1878	88.2873
5	1400000	86.137	26.5224	95.1043
5	1500000	80.374	27.8461	101.924
5	1600000	75.336	29.0601	108.74
5	1700000	70.891	30.6391	115.558
5	1800000	66.941	31.8513	122.376
5	1900000	63.408	33.209	129.195
5	2000000	60.23	35.1165	136.012
5	2100000	57.355	36.5529	142.83
5	2200000	54.743	38.4322	149.645
5	2300000	52.356	39.8274	156.467
5	2400000	50.172	41.9842	163.278
6	1200000	83.817	24.9855	97.7367
6	1300000	77.34	26.5663	105.922
6	1400000	71.797	27.8527	114.099
6	1500000	66.993	29.7643	122.281
6	1600000	62.79	30.994	130.467
6	1700000	59.085	32.6531	138.648
6	1800000	55.792	34.2532	146.831
6	1900000	52.849	35.9299	155.008
6	2000000	50.2	37.3825	163.187
6	2100000	47.802	39.1118	171.374
6	2200000	45.624	40.8339	179.555
6	2300000	43.636	42.9692	187.735
6	2400000	41.813	44.8427	195.92
7	1200000	71.852	26.3076	114.012
7	1300000	66.302	27.7633	123.556
7	1400000	61.547	29.3776	133.102
7	1500000	57.427	31.1341	142.651
7	1600000	53.824	32.6833	152.2
7	1700000	50.648	34.4408	161.744
7	1800000	47.825	36.0958	171.291
7	1900000	45.302	38.1683	180.831
7	2000000	43.031	39.8869	190.374
7	2100000	40.976	41.9026	199.922
7	2200000	39.109	43.1584	209.466
7	2300000	37.404	46.0514	219.014
7	2400000	35.842	47.7981	228.559
8	1200000	62.88	27.5665	130.28
8	1300000	58.02	29.4779	141.193
8	1400000	53.86	30.9047	152.098
8	1500000	50.255	32.4312	163.009
8	1600000	47.104	34.7475	173.913
8	1700000	44.323	36.33	184.825
8	1800000	41.853	38.1703	195.733
8	1900000	39.643	40.1027	206.644
8	2000000	37.657	42.1959	217.543
8	2100000	35.857	44.373	228.463
8	2200000	34.224	46.4011	239.364
8	2300000	32.732	48.0799	250.275
8	2400000	31.364	50.8585	261.191
9	1200000	55.905	28.7601	146.534
9	1300000	51.582	30.5164	158.815
9	1400000	47.881	32.3852	171.091
9	1500000	44.677	34.1687	183.361
9	1600000	41.875	36.1419	195.63
9	1700000	39.403	38.2989	207.903
9	1800000	37.206	40.0531	220.18
9	1900000	35.242	42.1715	232.45
9	2000000	33.475	44.3681	244.72
9	2100000	31.877	46.4399	256.988
9	2200000	30.424	48.684	269.261
9	2300000	29.097	51.9621	281.541
9	2400000	27.882	53.9712	293.81
10	1200000	50.345	29.9215	162.717
10	1300000	46.455	32.0523	176.343
10	1400000	43.121	33.6795	189.977
10	1500000	40.233	36.0716	203.614
10	1600000	37.709	38.05	217.243
10	1700000	35.485	39.9716	230.858
10	1800000	33.505	42.211	244.501
10	1900000	31.736	44.8446	258.13
10	2000000	30.144	47.3572	271.762
10	2100000	28.704	49.0317	285.396
10	2200000	27.396	52.0138	299.022
10	2300000	26.203	54.8357	312.636
10	2400000	25.108	57.3394	326.271
11	1200000	45.793	31.2433	178.892
11	1300000	42.252	33.6884	193.884
11	1400000	39.219	36.1135	208.878
11	1500000	36.591	38.8415	223.88
11	1600000	34.295	41.4405	238.869
11	1700000	32.271	43.8549	253.85
11	1800000	30.471	47.1376	268.846
11	1900000	28.862	49.4286	283.833
11	2000000	27.414	52.5034	298.825
11	2100000	26.104	55.4496	313.822
11	2200000	24.915	58.3567	328.798
11	2300000	23.829	61.98	343.783
11	2400000	22.834	64.3614	358.763
12	1200000	41.998	32.7518	195.057
12	1300000	38.748	35.01	211.417
12	1400000	35.968	37.6512	227.758
12	1500000	33.554	40.3598	244.144
12	1600000	31.448	42.9993	260.494
12	1700000	29.592	45.9544	276.832
12	1800000	27.94	48.5419	293.2
12	1900000	26.465	51.6156	309.541
12	2000000	25.134	54.6747	325.933
12	2100000	23.934	57.5829	342.275
12	2200000	22.843	61.1672	358.622
12	2300000	21.847	63.9609	374.971
12	2400000	20.933	66.8041	391.344
13	1200000	38.783	33.8783	211.227
13	1300000	35.781	36.7304	228.948
13	1400000	33.21	39.4866	246.673
13	1500000	30.986	42.2344	264.377
13	1600000	29.04	44.765	282.094
13	1700000	27.324	47.7475	299.81
13	1800000	25.8	50.4368	317.519
13	1900000	24.436	53.4479	335.243
13	2000000	23.206	56.8922	353.012
13	2100000	22.097	59.7797	370.729
13	2200000	21.09	63.0885	388.431
13	2300000	20.169	67.1295	406.168
13	2400000	19.326	70.2868	423.885
14	1200000	36.025	35.4065	227.398
14	1300000	33.236	37.8155	246.48
14	1400000	30.851	40.9647	265.534
14	1500000	28.781	43.6879	284.632
14	1600000	26.973	46.4144	303.711
14	1700000	25.38	49.5391	322.774
14	1800000	23.962	52.8944	341.875
14	1900000	22.696	56.1745	360.945
14	2000000	21.554	59.2683	380.069
14	2100000	20.524	62.4454	399.142
14	2200000	19.588	65.6521	418.215
14	2300000	18.733	68.8247	437.303
14	2400000	17.95	73.3015	456.379
15	1200000	33.64	36.6426	243.52
15	1300000	31.032	39.5386	263.986
15	1400000	28.8	42.3467	284.444
15	1500000	26.87	45.0758	304.875
15	1600000	25.182	48.6574	325.312
15	1700000	23.695	50.9564	345.727
15	1800000	22.37	54.3903	366.205
15	1900000	21.19	57.4118	386.597
15	2000000	20.122	60.7514	407.117
15	2100000	19.161	65.2372	427.535
15	2200000	18.291	68.5867	447.871
15	2300000	17.494	71.538	468.275
15	2400000	16.763	74.4379	488.695
16	1200000	31.553	37.9127	259.627
16	1300000	29.11	40.8003	281.415
16	1400000	27.015	43.6355	303.239
16	1500000	25.206	47.2636	325.002
16	1600000	23.621	49.8268	346.81
16	1700000	22.226	52.9124	368.577
16	1800000	20.985	56.4988	390.374
16	1900000	19.877	59.814	412.135
16	2000000	18.876	63.0434	433.99
16	2100000	17.974	66.2414	455.769
16	2200000	17.155	71.2403	477.528
16	2300000	16.405	74.1814	499.36
16	2400000	15.719	77.0633	521.153
17	1200000	29.707	38.9835	275.76
17	1300000	27.405	41.8845	298.924
17	1400000	25.436	45.3548	322.063
17	1500000	23.73	48.1033	345.217
17	1600000	22.239	51.6992	368.362
17	1700000	20.925	54.9576	391.493
17	1800000	19.756	58.532	414.659
17	1900000	18.711	61.8578	437.817
17	2000000	17.77	65.2555	461.002
17	2100000	16.921	70.021	484.132
17	2200000	16.148	73.3746	507.307
17	2300000	15.443	76.4794	530.467
17	2400000	14.797	81.5976	553.626
18	1200000	28.065	40.5188	291.894
18	1300000	25.89	43.5002	316.416
18	1400000	24.029	46.4666	340.921
18	1500000	22.417	49.899	365.437
18	1600000	21.008	53.5779	389.947
18	1700000	19.766	56.9698	414.449
18	1800000	18.663	60.6149	438.943
18	1900000	17.675	64.0629	463.479
18	2000000	16.786	67.4293	488.026
18	2100000	15.983	71.9904	512.545
18	2200000	15.254	75.5335	537.039
18	2300000	14.588	78.7805	561.557
18	2400000	13.979	83.8075	586.022
19	1200000	26.593	41.4028	308.051
19	1300000	24.535	45.0325	333.89
19	1400000	22.769	47.8989	359.787
19	1500000	21.241	51.4535	385.669
19	1600000	19.906	55.1575	411.534
19	1700000	18.729	58.5711	437.397
19	1800000	17.683	62.3654	463.27
19	1900000	16.748	65.8359	489.133
19	2000000	15.905	70.7796	515.058
19	2100000	15.145	74.2026	540.905
19	2200000	14.454	77.6252	566.764
19	2300000	13.822	82.4186	592.678
19	2400000	13.244	86.1334	618.544
20	1200000	25.271	42.9346	324.166
20	1300000	23.31	46.6679	351.437
20	1400000	21.634	49.582	378.663
20	1500000	20.183	53.1005	405.886
20	1600000	18.909	57.072	433.233
20	1700000	17.79	60.4571	460.483
20	1800000	16.797	64.3122	487.706
20	1900000	15.907	67.6546	514.993
20	2000000	15.106	72.5197	542.301
20	2100000	14.383	76.268	569.561
20	2200000	13.726	81.6599	596.824
20	2300000	13.127	85.0944	624.057
20	2400000	12.578	90.0099	651.296
21	1200000	24.067	44.46	340.383
21	1300000	22.2	48.0823	369.009
21	1400000	20.605	51.0559	397.573
21	1500000	19.219	54.744	426.245
21	1600000	18.011	58.5415	454.833
21	1700000	16.945	62.303	483.446
21	1800000	15.999	67.3006	512.032
21	1900000	15.151	70.8691	540.69
21	2000000	14.389	74.6988	569.324
21	2100000	13.7	79.5263	597.956
21	2200000	13.075	83.3267	626.539
21	2300000	12.504	88.9411	655.15
21	2400000	11.981	92.5488	683.749
22	1200000	22.976	45.584	356.546
22	1300000	21.194	49.4426	386.524
22	1400000	19.666	52.9288	416.556
22	1500000	18.344	56.0663	446.577
22	1600000	17.192	60.0893	476.501
22	1700000	16.174	64.748	506.492
22	1800000	15.271	68.5656	536.442
22	1900000	14.462	72.3628	566.45
22	2000000	13.733	77.7542	596.519
22	2100000	13.077	81.0126	626.443
22	2200000	12.479	84.6265	656.463
22	2300000	11.935	90.2087	686.385
22	2400000	11.435	96.1299	716.397
