TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
115	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	1906.21	1906.21	0	5.7546e+06	99.0688	72.9908	72.9908	
234	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	976.491	976.491	0	1.12739e+07	99.6827	35.1973	35.1973	
329	[[0][2,3,4,5,6,][1]]	5	2400000	874.409	874.409	0	5.18347e+06	89.1708	50.6778	50.6778	
432	[[0][2,3,4,5,6,][1]]	5	1200000	483.66	483.66	0	1.04573e+07	99.9814	26.4442	26.4442	
500	[[0][2,3,][1]]	2	2400000	552.022	552.022	0	3.67092e+06	94.9937	46.7104	46.7104	
589	[[0][2,3,][1]]	2	1200000	259.349	259.349	0	8.35808e+06	96.3223	23.1913	23.1913	
641	[[0][2,][1]]	1	2400000	351.975	351.975	0	2.83994e+06	99.959	43.5607	43.5607	
683	[[0][2,][1]]	1	1600000	233.984	233.984	0	4.27201e+06	99.958	28.5805	28.5805	
740	[[0][2,3,][1]]	2	2400000	515.518	515.518	0	3.71231e+06	95.5347	46.6039	46.6039	
818	[[0][2,3,][1]]	2	1200000	275.946	275.946	0	7.33627e+06	95.1811	23.2094	23.2094	
1829	[[0][2,3,][1]]	2	1200000	253.439	273.696	2.46701	7.36813e+06	95.3626	23.1224	23.2007	
2840	[[0][2,3,][1]]	2	1200000	253.118	271.638	3.27503	7.39817e+06	95.5316	23.0984	23.1904	
3848	[[0][2,3,][1]]	2	1200000	252.902	269.764	3.75888	7.42568e+06	95.6813	22.6004	23.1314	
4853	[[0][2,3,][1]]	2	1200000	253.497	268.138	4.02291	7.4478e+06	95.8047	23.0649	23.1248	
5857	[[0][2,3,][1]]	2	1200000	254.637	266.788	4.12527	7.46641e+06	95.9382	23.049	23.1172	
6870	[[0][2,3,][1]]	2	1200000	252.992	265.408	4.2317	7.48627e+06	96.0388	22.8059	23.0861	
7880	[[0][2,3,][1]]	2	1200000	253.712	264.238	4.24533	7.50399e+06	96.1564	22.6065	23.0381	
8887	[[0][2,3,][1]]	2	1200000	252.768	263.091	4.25123	7.52164e+06	96.2469	22.6001	22.9943	
9893	[[0][2,3,][1]]	2	1200000	253.667	262.149	4.18879	7.53547e+06	96.3377	23.1868	23.0135	
10900	[[0][2,3,][1]]	2	1200000	255.091	261.443	4.06604	7.54588e+06	96.446	23.1518	23.0274	
11903	[[0][2,3,][1]]	2	1200000	254.89	260.788	3.93988	7.55545e+06	96.539	22.6784	22.9925	
12910	[[0][2,3,][1]]	2	1200000	252.723	259.981	3.86305	7.56962e+06	96.6093	22.5991	22.9531	
13921	[[0][2,3,][1]]	2	1200000	253.494	259.333	3.74985	7.58171e+06	96.696	22.617	22.9195	
14924	[[0][2,3,][1]]	2	1200000	253.497	258.749	3.62908	7.58877e+06	96.7256	23.0964	22.9372	
15940	[[0][2,3,][1]]	2	1200000	251.467	258.021	3.55486	7.60015e+06	96.7377	22.5935	22.9028	
16944	[[0][2,3,][1]]	2	1200000	254.77	257.696	3.39783	7.605e+06	96.8072	23.1111	22.9237	
17948	[[0][2,3,][1]]	2	1200000	253.047	257.231	3.27449	7.61148e+06	96.8306	23.1001	22.9413	
18954	[[0][2,3,][1]]	2	1200000	252.737	256.782	3.15586	7.6173e+06	96.8394	22.8007	22.9272	
19959	[[0][2,3,][1]]	2	1200000	253.272	256.431	3.026	7.6233e+06	96.8772	22.6433	22.8988	
20961	[[0][2,3,][1]]	2	1200000	254.582	256.246	2.88093	7.62813e+06	96.9547	22.7047	22.8794	
21964	[[0][2,3,][1]]	2	1200000	254.037	256.025	2.74766	7.63203e+06	96.9978	22.6707	22.8586	
22969	[[0][2,3,][1]]	2	1200000	252.669	255.689	2.63961	7.6372e+06	97.0052	22.5691	22.8296	
23974	[[0][2,3,][1]]	2	1200000	255.077	255.628	2.50579	7.63914e+06	97.0692	22.5975	22.8064	
24988	[[0][2,3,][1]]	2	1200000	251.531	255.218	2.42923	7.64655e+06	97.0602	22.573	22.7831	
25992	[[0][2,3,][1]]	2	1200000	255.571	255.254	2.30463	7.64712e+06	97.1315	22.5655	22.7613	
27006	[[0][2,3,][1]]	2	1200000	253.04	255.032	2.2037	7.65075e+06	97.1394	22.5831	22.7435	
28008	[[0][2,3,][1]]	2	1200000	254.827	255.012	2.09092	7.65111e+06	97.1753	22.6465	22.7338	
29012	[[0][2,3,][1]]	2	1200000	253.16	254.826	1.99699	7.65204e+06	97.1544	23.124	22.7728	
30026	[[0][2,3,][1]]	2	1200000	252.83	254.627	1.91054	7.65464e+06	97.145	23.1142	22.8069	
31029	[[0][2,3,][1]]	2	1200000	253.942	254.558	1.81478	7.65598e+06	97.1641	22.9959	22.8258	
32033	[[0][2,3,][1]]	2	1200000	252.802	254.383	1.73525	7.65799e+06	97.1464	22.5454	22.7978	
33035	[[0][2,3,][1]]	2	1200000	253.467	254.291	1.65033	7.6571e+06	97.1258	22.5359	22.7716	
