TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
426	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	829.761	829.761	0	2.33872e+07	86.9546	43.698	43.698	
765	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	830.247	830.247	0	2.04501e+07	76.8873	44.3821	44.3821	
974	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	1114.3	1114.3	0	1.38852e+07	68.7597	48.9176	48.9176	
1318	[[0][2,3,4,5,6,7,8,9,10,11,12,2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1200000	881.133	881.133	0	1.84458e+07	73.7701	36.9042	36.9042	
1771	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	559.207	559.207	0	3.64429e+07	88.5171	34.5901	34.5901	
3044	[[0][2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,][1]]	1	2100000	177.008	177.008	0	1.07352e+08	83.6101	28.8982	28.8982	
3199	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	1729.1	1729.1	0	1.051e+07	78.9956	71.6926	71.6926	
3946	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	268.133	268.133	0	6.67088e+07	79.6097	22.9946	22.9946	
4259	[[0][2,3,4,5,6,7,8,9,10,2,3,4,5,6,7,8,9,10,2,3,4,5,][1]]	9	1500000	899.085	899.085	0	2.04294e+07	82.1728	39.621	39.621	
5074	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	286.688	286.688	0	6.82765e+07	82.0377	22.9103	22.9103	
6179	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	251.381	283.158	3.7408	6.80854e+07	81.3807	23.0973	22.929	
7285	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	292.545	284.096	3.67339	6.79094e+07	82.0312	23.3012	22.9662	
8414	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	295.309	285.218	3.66606	6.75864e+07	82.4475	23.3411	23.0037	
9543	[[0][2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,3,4,2,][1]]	3	1200000	293.217	286.018	3.56825	6.71966e+07	82.638	23.8678	23.0901	
