TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
208	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1333.41	1333.41	0	8.90204e+06	98.4053	48.1395	48.1395	
291	[[0][2,3,4,5,6,7,][1]]	6	2000000	1029.86	1029.86	0	5.85852e+06	99.4622	46.4702	46.4702	
458	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1261.25	1261.25	0	1.04259e+07	77.3283	47.1902	47.1902	
591	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	2408.05	2408.05	0	5.85073e+06	64.0209	104.232	104.232	
679	[[0][2,3,4,5,][1]]	4	1700000	647.564	647.564	0	6.1852e+06	97.1776	34.0704	34.0704	
827	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1400000	1001.51	1001.51	0	9.95467e+06	89.8697	39.5868	39.5868	
1927	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1266.94	1266.94	0	9.31569e+06	98.3395	43.8362	43.8362	
2946	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1292.51	1269.49	0.604244	9.29217e+06	98.2851	44.74	43.9266	
3965	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1298.49	1272.39	0.891409	9.27381e+06	98.312	44.9428	44.0282	
4975	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1161.12	1261.27	2.78085	9.31563e+06	97.8582	43.2206	43.9475	
5985	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1208.2	1255.96	2.93694	9.33715e+06	97.6682	43.328	43.8855	
7004	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1279.98	1258.36	2.83925	9.31561e+06	97.6305	44.7535	43.9723	
8023	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1309.13	1263.44	2.94116	9.28599e+06	97.7066	45.1533	44.0904	
9033	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1306.56	1267.75	2.96204	9.2622e+06	97.7868	45.1764	44.199	
10042	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1308.91	1271.87	2.96446	9.24151e+06	97.8845	45.1034	44.2895	
11052	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1304.83	1275.16	2.91027	9.22574e+06	97.9725	45.0218	44.3627	
12061	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1307.48	1278.39	2.85644	9.21121e+06	98.0683	45.0928	44.4357	
13071	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1312.29	1281.78	2.81669	9.19216e+06	98.1263	45.1842	44.5106	
14089	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1314.26	1285.03	2.77113	9.17191e+06	98.1587	45.3144	44.5909	
15099	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	1311.05	1287.63	2.69274	9.15667e+06	98.1966	45.278	44.6596	
16099	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1400000	712.535	1230.12	14.278	9.11915e+06	93.5894	19.7769	42.1714	
