TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
171	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1413.47	1413.47	0	8.30752e+06	97.6524	49.9094	49.9094	
253	[[0][2,3,4,5,6,7,][1]]	6	2000000	1045.49	1045.49	0	5.74128e+06	97.8234	46.4623	46.4623	
410	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1327.77	1327.77	0	1.00428e+07	78.4349	48.0944	48.0944	
561	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	2245.28	2245.28	0	5.7571e+06	58.7917	103.955	103.955	
640	[[0][2,3,4,5,][1]]	4	1700000	673.911	673.911	0	6.03331e+06	98.1023	36.115	36.115	
767	[[0][2,3,][1]]	2	1200000	267.452	267.452	0	7.96031e+06	99.9713	22.7332	22.7332	
852	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	2091.03	2091.03	0	6.07314e+06	90.6535	73.8628	73.8628	
961	[[0][2,3,][1]]	2	1200000	274.138	274.138	0	7.54842e+06	97.4657	22.652	22.652	
1971	[[0][2,3,][1]]	2	1200000	253.225	272.046	2.30617	7.56986e+06	97.5471	22.6958	22.6564	
2976	[[0][2,3,][1]]	2	1200000	251.32	269.974	3.18821	7.58459e+06	97.4869	22.586	22.6493	
3979	[[0][2,3,][1]]	2	1200000	250.935	268.07	3.7173	7.60231e+06	97.4768	22.6801	22.6524	
4990	[[0][2,3,][1]]	2	1200000	252.73	266.536	3.94477	7.6147e+06	97.4914	22.7065	22.6578	
6001	[[0][2,3,][1]]	2	1200000	253.251	265.207	4.05017	7.62405e+06	97.5029	22.6463	22.6567	
7013	[[0][2,3,][1]]	2	1200000	252.194	263.906	4.13496	7.63286e+06	97.4769	22.6579	22.6568	
8015	[[0][2,3,][1]]	2	1200000	253.735	262.889	4.10545	7.63856e+06	97.4851	22.7296	22.6641	
9025	[[0][2,3,][1]]	2	1200000	251.797	261.78	4.11264	7.64522e+06	97.4364	22.7151	22.6692	
10036	[[0][2,3,][1]]	2	1200000	250.995	260.701	4.10959	7.65398e+06	97.3971	22.7285	22.6751	
11038	[[0][2,3,][1]]	2	1200000	254.279	260.059	3.97793	7.65681e+06	97.4245	22.7487	22.6825	
12041	[[0][2,3,][1]]	2	1200000	251.537	259.207	3.91257	7.66181e+06	97.3747	22.7584	22.6901	
13052	[[0][2,3,][1]]	2	1200000	250.137	258.3	3.87091	7.66891e+06	97.3047	22.7718	22.6982	
14053	[[0][2,3,][1]]	2	1200000	252.661	257.736	3.73836	7.6725e+06	97.3073	22.7104	22.6994	
15058	[[0][2,3,][1]]	2	1200000	250.729	257.035	3.649	7.67952e+06	97.283	22.6895	22.6985	
16068	[[0][2,3,][1]]	2	1200000	251.653	256.497	3.52566	7.68391e+06	97.2727	22.7449	22.7031	
17078	[[0][2,3,][1]]	2	1200000	253.6	256.207	3.36565	7.68484e+06	97.299	22.7148	22.7043	
