TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
106	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1316.65	1316.65	0	8.21098e+06	89.854	50.4572	50.4572	
202	[[0][2,3,4,5,6,7,][1]]	6	2000000	964.305	964.305	0	5.64964e+06	90.5427	44.4085	44.4085	
702	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	262.195	262.195	0	1.08335e+07	16.7104	45.8971	45.8971	
1085	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1400000	604.216	604.216	0	9.47819e+06	26.0188	56.8453	56.8453	
1194	[[0][2,3,4,5,][1]]	4	1700000	547.33	547.33	0	7.33264e+06	99.9808	30.9616	30.9616	
1300	[[0][2,3,4,][1]]	3	1900000	463.462	463.462	0	6.51458e+06	99.9799	31.5125	31.5125	
1481	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	902.56	902.56	0	6.26392e+06	40.3495	65.5707	65.5707	
1601	[[0][2,3,4,][1]]	3	1900000	459.431	459.431	0	6.52143e+06	99.3576	31.9666	31.9666	
1770	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	746.895	746.895	0	9.0194e+06	74.7126	36.8194	36.8194	
1939	[[0][2,3,4,5,][1]]	4	1700000	481.883	481.883	0	6.32846e+06	76.6311	33.0349	33.0349	
3031	[[0][2,3,4,][1]]	3	1900000	540.712	540.712	0	5.40784e+06	97.4693	36.4096	36.4096	
4034	[[0][2,3,4,][1]]	3	1900000	542.835	540.924	0.11773	5.40632e+06	97.4797	36.5677	36.4254	
5037	[[0][2,3,4,][1]]	3	1900000	541.883	541.02	0.12367	5.40622e+06	97.4952	37.2196	36.5048	
6039	[[0][2,3,4,][1]]	3	1900000	538.221	540.74	0.194664	5.40735e+06	97.465	37.9339	36.6477	
7059	[[0][2,3,4,][1]]	3	1900000	533.646	540.031	0.43535	5.41266e+06	97.4314	37.9629	36.7793	
8063	[[0][2,3,4,][1]]	3	1900000	535.19	539.547	0.493296	5.41682e+06	97.4179	37.9822	36.8996	
9065	[[0][2,3,4,][1]]	3	1900000	536.274	539.219	0.502416	5.42138e+06	97.4406	37.885	36.9981	
10085	[[0][2,3,4,][1]]	3	1900000	531.091	538.407	0.65802	5.42954e+06	97.4385	37.7448	37.0728	
11087	[[0][2,3,4,][1]]	3	1900000	542.193	538.785	0.658486	5.42705e+06	97.4627	37.5849	37.124	
12089	[[0][2,3,4,][1]]	3	1900000	542.92	539.199	0.665249	5.42414e+06	97.485	37.0527	37.1168	
13092	[[0][2,3,4,][1]]	3	1900000	541.801	539.459	0.647194	5.4232e+06	97.5148	38.0696	37.2121	
14099	[[0][2,3,4,][1]]	3	1900000	540.777	539.591	0.618188	5.42221e+06	97.5213	37.9496	37.2859	
15102	[[0][2,3,4,][1]]	3	1900000	541.259	539.757	0.593567	5.42098e+06	97.5296	37.9539	37.3527	
16104	[[0][2,3,4,][1]]	3	1900000	540.947	539.876	0.566848	5.42241e+06	97.5775	38.0895	37.4264	
17108	[[0][2,3,4,][1]]	3	1900000	538.121	539.701	0.546713	5.42593e+06	97.6089	38.5382	37.5375	
18112	[[0][2,3,4,][1]]	3	1900000	536.43	539.374	0.549936	5.42889e+06	97.6024	38.574	37.6412	
19113	[[0][2,3,4,][1]]	3	1900000	537.634	539.2	0.530781	5.43252e+06	97.6358	38.2803	37.7051	
20116	[[0][2,3,4,][1]]	3	1900000	534.146	538.694	0.577282	5.43556e+06	97.5989	38.0002	37.7346	
21121	[[0][2,3,4,][1]]	3	1900000	540.774	538.902	0.559557	5.43649e+06	97.6531	38.6489	37.826	
22146	[[0][2,3,4,][1]]	3	1900000	536.586	538.671	0.546519	5.43777e+06	97.6343	38.4668	37.8901	
23152	[[0][2,3,4,][1]]	3	1900000	534.428	538.246	0.570229	5.44133e+06	97.6212	38.5351	37.9546	
24155	[[0][2,3,4,][1]]	3	1900000	540.566	538.478	0.555965	5.44123e+06	97.6619	38.5949	38.0186	
25181	[[0][2,3,4,][1]]	3	1900000	537.248	538.355	0.531992	5.44103e+06	97.6361	38.3544	38.0522	
26186	[[0][2,3,4,][1]]	3	1900000	538.684	538.388	0.504994	5.44119e+06	97.6452	38.7341	38.1204	
27189	[[0][2,3,4,][1]]	3	1900000	539.603	538.51	0.48373	5.43963e+06	97.6395	38.2447	38.1328	
28194	[[0][2,3,4,][1]]	3	1900000	541.255	538.784	0.483474	5.4372e+06	97.6455	37.9096	38.1105	
29198	[[0][2,3,4,][1]]	3	1900000	538.436	538.749	0.459102	5.43525e+06	97.6042	37.8935	38.0888	
30201	[[0][2,3,4,][1]]	3	1900000	537.768	538.651	0.439041	5.43687e+06	97.6149	38.0084	38.0808	
31204	[[0][2,3,4,][1]]	3	1900000	537.023	538.489	0.426393	5.43792e+06	97.6046	38.0372	38.0764	
32208	[[0][2,3,4,][1]]	3	1900000	536.069	538.247	0.426567	5.43964e+06	97.5919	38.0006	38.0688	
33212	[[0][2,3,4,][1]]	3	1900000	539.692	538.391	0.412502	5.44034e+06	97.631	38.1323	38.0752	
34214	[[0][2,3,4,][1]]	3	1900000	543.738	538.926	0.491363	5.43734e+06	97.6737	38.1077	38.0784	
35216	[[0][2,3,4,][1]]	3	1900000	544.405	539.474	0.556504	5.43403e+06	97.7125	38.1248	38.0831	
36217	[[0][2,3,4,][1]]	3	1900000	467.138	532.24	4.11218	5.43154e+06	96.3604	26.1514	36.8899	
