TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
182	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1349.97	1349.97	0	8.8901e+06	99.7667	47.2415	47.2415	
270	[[0][2,3,4,5,6,7,][1]]	6	2000000	1038.78	1038.78	0	5.90411e+06	98.4757	44.1738	44.1738	
436	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1252.27	1252.27	0	1.08442e+07	79.7026	46.3465	46.3465	
582	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	2395.36	2395.36	0	5.83077e+06	63.4743	103.468	103.468	
670	[[0][2,3,4,5,][1]]	4	1700000	609.668	609.668	0	6.40703e+06	96.5036	35.5596	35.5596	
820	[[0][2,3,4,5,6,][1]]	5	1200000	561.457	561.457	0	9.03965e+06	99.004	27.4382	27.4382	
918	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	2130.77	2130.77	0	6.18812e+06	94.1738	73.9449	73.9449	
1064	[[0][2,3,4,5,6,][1]]	5	1200000	530.51	530.51	0	9.5381e+06	97.8508	27.3598	27.3598	
2070	[[0][2,3,4,5,6,][1]]	5	1200000	516.2	529.079	0.811435	9.53492e+06	97.8789	27.7617	27.4	
3078	[[0][2,3,4,5,6,][1]]	5	1200000	515.768	527.748	1.08082	9.53408e+06	97.9176	27.4482	27.4048	
4088	[[0][2,3,4,5,6,][1]]	5	1200000	519.022	526.875	1.14092	9.53116e+06	97.9919	27.6052	27.4249	
5098	[[0][2,3,4,5,6,][1]]	5	1200000	520.161	526.204	1.14937	9.52424e+06	98.035	27.5293	27.4353	
6108	[[0][2,3,4,5,6,][1]]	5	1200000	520.854	525.669	1.1334	9.51774e+06	98.0837	27.5091	27.4427	
7114	[[0][2,3,4,5,6,][1]]	5	1200000	518.402	524.942	1.15404	9.51362e+06	98.0996	27.4795	27.4464	
8120	[[0][2,3,4,5,6,][1]]	5	1200000	517.031	524.151	1.18629	9.50941e+06	98.0828	27.9749	27.4992	
9123	[[0][2,3,4,5,6,][1]]	5	1200000	518.941	523.63	1.16541	9.50648e+06	98.1131	27.581	27.5074	
10134	[[0][2,3,4,5,6,][1]]	5	1200000	517.166	522.984	1.16743	9.50382e+06	98.1063	27.3858	27.4952	
11139	[[0][2,3,4,5,6,][1]]	5	1200000	517.523	522.438	1.15217	9.4989e+06	98.0809	27.3981	27.4855	
