TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
50	[[0][2,][1]]	1	2100000	301.312	301.312	0	3.31746e+06	99.9593	37.9512	37.9512	
186	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2300000	2097.79	2097.79	0	6.25867e+06	93.5864	74.9144	74.9144	
279	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2000000	1528.14	1528.14	0	7.11421e+06	97.9036	56.9736	56.9736	
366	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	1600000	1272.97	1272.97	0	8.68805e+06	99.9792	46.4314	46.4314	
493	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	1500000	1090.15	1090.15	0	9.20601e+06	99.9809	40.3693	40.3693	
652	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1300000	1317.42	1317.42	0	1.04965e+07	92.1383	43.9167	43.9167	
755	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	2200000	2118.35	2118.35	0	6.04738e+06	71.1344	85.9091	85.9091	
910	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1208.44	1208.44	0	1.12874e+07	97.304	39.7264	39.7264	
1922	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1284.64	1216.06	1.87982	1.1238e+07	97.4769	41.5051	39.9043	
2934	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1275.53	1222	2.29812	1.11881e+07	97.5125	41.6378	40.0777	
3947	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1281.93	1228	2.61728	1.11417e+07	97.5803	41.7125	40.2411	
4959	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1267.11	1231.91	2.65203	1.11025e+07	97.5513	41.7723	40.3943	
5970	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1290.2	1237.74	2.87517	1.10656e+07	97.687	41.7941	40.5342	
6985	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1291.92	1243.16	3.01413	1.10241e+07	97.7455	41.8506	40.6659	
7994	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1294.72	1248.31	3.10562	1.09884e+07	97.8358	41.8623	40.7855	
9006	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1295.26	1253.01	3.14312	1.09567e+07	97.9234	41.8456	40.8915	
10015	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1273.7	1255.08	3.01771	1.09283e+07	97.8405	41.9326	40.9956	
11025	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1276.86	1257.25	2.90477	1.0909e+07	97.8471	41.6192	41.058	
12043	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1280.17	1259.55	2.80433	1.08965e+07	97.9227	41.4543	41.0976	
13055	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1228.92	1256.48	2.76532	1.0911e+07	97.8223	40.6446	41.0523	
14072	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1290.43	1259.88	2.73837	1.08877e+07	97.8808	41.817	41.1288	
15082	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	1288.15	1262.71	2.67764	1.08654e+07	97.9044	41.7459	41.1905	
16082	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	1200000	222.643	1158.7	27.0703	1.07991e+07	89.8426	16.8498	38.7564	
