TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
283	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	881.891	881.891	0	2.0663e+07	80.2607	46.2007	46.2007	
660	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	752.425	752.425	0	2.1539e+07	71.5771	42.0915	42.0915	
898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	968.017	968.017	0	1.40929e+07	61.7635	47.0979	47.0979	
1147	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	1200000	806.601	806.601	0	1.18195e+07	43.2498	50.0247	50.0247	
1657	[[0][2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,4,5,2,3,][1]]	4	1700000	622.919	622.919	0	3.1063e+07	81.8484	33.7672	33.7672	
1766	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2300000	2140.72	2140.72	0	5.9023e+06	57.4518	99.0942	99.0942	
1917	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,2,3,4,5,6,7,8,9,][1]]	14	2100000	1809.3	1809.3	0	1.04233e+07	84.2666	70.1401	70.1401	
2063	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	1990.68	1990.68	0	7.85497e+06	67.7395	90.6926	90.6926	
3080	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	1971.78	1988.79	0.285069	7.82325e+06	67.7197	92.788	90.9022	
4097	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	1960.32	1985.94	0.508246	7.78786e+06	67.6048	93.9605	91.208	
5115	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	2013.82	1988.73	0.639251	7.754e+06	67.663	94.4205	91.5293	
6132	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	1951.62	1985.02	0.826818	7.73661e+06	67.6221	93.9038	91.7667	
7150	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	2400000	1981.28	1984.64	0.786568	7.71106e+06	67.5921	94.6823	92.0583	
7326	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	1351.18	1351.18	0	1.47393e+07	89.6733	51.4635	51.4635	
7596	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	908.967	908.967	0	2.00926e+07	80.5182	47.4665	47.4665	
7771	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	1111.05	1111.05	0	1.35282e+07	69.1057	47.4597	47.4597	
7898	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,2,3,][1]]	20	2200000	2226.25	2226.25	0	7.04149e+06	70.1953	92.954	92.954	
8987	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2,3,4,5,][1]]	18	2300000	1923.06	1923.06	0	7.50806e+06	65.5869	92.7666	92.7666	
9159	[[0][2,3,4,5,6,7,8,9,10,11,12,13,2,3,4,5,6,7,8,9,10,11,][1]]	12	1600000	1308.67	1308.67	0	1.50164e+07	87.7051	51.3741	51.3741	
9402	[[0][2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,6,7,2,3,4,5,][1]]	6	2000000	976.925	976.925	0	1.95337e+07	82.5584	47.68	47.68	
9588	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,2,3,4,5,6,][1]]	17	1300000	1072.05	1072.05	0	1.35185e+07	65.6405	49.7273	49.7273	
9740	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2,3,4,5,6,7,][1]]	16	2400000	2131.68	2131.68	0	7.37695e+06	70.1892	90.5657	90.5657	
10762	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2,3,4,5,6,7,][1]]	16	2400000	1924.51	2110.96	2.94425	7.43313e+06	70.1126	91.2877	90.6379	
11762	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,2,3,4,5,6,7,][1]]	16	2400000	1931.99	2093.07	3.80995	7.47819e+06	70.0411	89.468	90.5209	
