TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
111	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1396.47	1396.47	0	8.62736e+06	99.9488	48.8987	48.8987	
195	[[0][2,3,4,5,6,7,][1]]	6	2000000	919.439	919.439	0	6.4754e+06	99.1625	43.1634	43.1634	
482	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	504.177	504.177	0	1.05987e+07	31.4064	46.2034	46.2034	
686	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1500000	1480.15	1480.15	0	8.94161e+06	63.0085	61.7128	61.7128	
772	[[0][2,3,4,5,][1]]	4	1700000	665.432	665.432	0	5.96704e+06	96.7256	36.3258	36.3258	
891	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2300000	1773.12	1773.12	0	5.8763e+06	94.5614	69.8958	69.8958	
988	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	2118.54	2118.54	0	6.56258e+06	98.51	71.2999	71.2999	
1082	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	1916.53	1916.53	0	5.73536e+06	99.725	74.2548	74.2548	
1192	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	1108.79	1108.79	0	8.17826e+06	99.0613	41.8457	41.8457	
1299	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	1843.62	1843.62	0	5.68597e+06	95.1956	73.3033	73.3033	
1417	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	1953.87	1953.87	0	7.06791e+06	72.6096	75.5064	75.5064	
1509	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	1935.09	1935.09	0	5.69519e+06	99.9805	72.8412	72.8412	
1576	[[0][2,3,][1]]	2	2300000	499.375	499.375	0	3.89423e+06	97.0565	43.2141	43.2141	
1673	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	2087.96	2087.96	0	5.22345e+06	98.0356	76.1966	76.1966	
1806	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	1169.79	1169.79	0	1.08685e+07	97.4819	40.064	40.064	
1915	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	2087.9	2087.9	0	5.28147e+06	99.6935	76.9466	76.9466	
2938	[[0][2,3,4,5,6,7,8,9,10,11,12,][1]]	11	2400000	2051.11	2084.22	0.529628	5.27967e+06	99.5387	77.3852	76.9905	
3042	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1533.34	1533.34	0	7.88741e+06	99.5593	51.5356	51.5356	
3126	[[0][2,3,4,5,6,7,][1]]	6	2000000	1017.37	1017.37	0	6.08417e+06	99.9794	49.1334	49.1334	
3297	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1335.79	1335.79	0	1.05778e+07	83.0298	47.7857	47.7857	
3434	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2110.49	2110.49	0	6.8508e+06	90.3176	71.4999	71.4999	
4448	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2204.16	2119.86	1.3255	6.80877e+06	90.1446	75.7072	71.9206	
5455	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2233.02	2131.18	2.02534	6.77024e+06	90.0949	75.7377	72.3023	
6469	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2109.81	2129.04	1.94676	6.75354e+06	89.7923	74.4915	72.5212	
7483	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	1876.27	2103.76	4.06024	6.76102e+06	88.8187	72.7078	72.5399	
8497	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2112.28	2104.61	3.85224	6.74449e+06	88.645	74.504	72.7363	
9510	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2177.99	2111.95	3.78809	6.72711e+06	88.7248	74.862	72.9489	
10511	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,][1]]	16	2000000	2129.81	2113.74	3.59959	6.70131e+06	88.4639	53.9216	71.0461	
