TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
117	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1263.71	1263.71	0	8.63922e+06	90.3473	47.8432	47.8432	
202	[[0][2,3,4,5,6,7,][1]]	6	2000000	931.527	931.527	0	6.4499e+06	99.9816	43.0061	43.0061	
369	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1289.99	1289.99	0	1.00959e+07	76.6139	47.3559	47.3559	
597	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	2319.25	2319.25	0	5.69007e+06	59.9719	102.871	102.871	
682	[[0][2,3,4,5,][1]]	4	1700000	652.326	652.326	0	6.25069e+06	97.9826	33.7545	33.7545	
816	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2300000	2346.33	2346.33	0	6.07146e+06	71.2277	94.4458	94.4458	
909	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	2007.04	2007.04	0	6.79335e+06	96.6011	69.2728	69.2728	
1028	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	2300000	2216.17	2216.17	0	5.93352e+06	69.2445	91.1099	91.1099	
2036	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	2300000	2419.94	2236.55	2.73323	5.92924e+06	69.8229	93.6644	91.3653	
3044	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	2300000	2399.77	2252.87	3.36908	5.92677e+06	70.2981	93.7554	91.6043	
4053	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	2300000	2432.36	2270.82	3.95952	5.91628e+06	70.7215	94.532	91.8971	
4157	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1400.45	1400.45	0	8.62489e+06	99.9435	49.1801	49.1801	
4240	[[0][2,3,4,5,6,7,][1]]	6	2000000	1019.04	1019.04	0	5.96161e+06	98.2872	49.9055	49.9055	
4393	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1350.22	1350.22	0	1.04349e+07	82.8812	48.1234	48.1234	
4552	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2050.59	2050.59	0	6.05442e+06	62.0355	90.2961	90.2961	
4652	[[0][2,3,4,5,][1]]	4	1700000	505.033	505.033	0	7.98396e+06	99.9816	33.5622	33.5622	
4794	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2289.48	2289.48	0	6.33855e+06	72.7081	89.1239	89.1239	
5803	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2328.51	2293.38	0.510634	6.31936e+06	72.5935	91.7888	89.3904	
6812	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2300.71	2294.11	0.49366	6.29995e+06	72.3804	91.9567	89.647	
7820	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2313.93	2296.1	0.534776	6.28758e+06	72.288	91.6145	89.8437	
8829	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	2341.05	2300.59	0.774573	6.27221e+06	72.2391	91.978	90.0572	
9829	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	1882.41	2258.77	5.60424	6.24801e+06	70.6895	31.4748	84.1989	
