TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
192	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1161.05	1161.05	0	8.55952e+06	82.7955	47.6335	47.6335	
288	[[0][2,3,4,5,6,7,][1]]	6	2000000	876.628	876.628	0	5.85324e+06	85.3853	41.4578	41.4578	
594	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	699.889	699.889	0	1.04227e+07	42.9895	44.9211	44.9211	
916	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1700000	794.432	794.432	0	7.61173e+06	31.8546	64.1149	64.1149	
1016	[[0][2,3,4,5,][1]]	4	1700000	670.43	670.43	0	6.22619e+06	99.9622	34.0252	34.0252	
1156	[[0][2,3,4,5,6,][1]]	5	2300000	987.773	987.773	0	4.94163e+06	95.5526	49.0553	49.0553	
2201	[[0][2,3,4,5,6,][1]]	5	2200000	941.247	941.247	0	5.22637e+06	98.3809	50.4382	50.4382	
2382	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	770.107	770.107	0	7.68547e+06	49.3012	47.0575	47.0575	
2481	[[0][2,3,4,5,6,7,][1]]	6	2000000	1013.41	1013.41	0	5.97349e+06	98.8431	41.6756	41.6756	
2770	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	719.851	719.851	0	9.93968e+06	42.0327	45.8328	45.8328	
2926	[[0][2,3,4,5,6,][1]]	5	2300000	934.707	934.707	0	4.94757e+06	89.6809	45.7281	45.7281	
3028	[[0][2,3,4,5,][1]]	4	1700000	589.716	589.716	0	6.27201e+06	91.6332	34.4611	34.4611	
3112	[[0][2,3,4,5,][1]]	4	2300000	695.97	695.97	0	5.16079e+06	88.8948	47.1483	47.1483	
3284	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	1007.34	1007.34	0	6.35509e+06	45.822	65.6147	65.6147	
3400	[[0][2,3,4,5,6,][1]]	5	2100000	808.519	808.519	0	5.29436e+06	85.9136	44.1573	44.1573	
4405	[[0][2,3,4,5,6,][1]]	5	2100000	898.236	817.491	3.2924	5.31099e+06	87.1319	48.0724	44.5488	
5412	[[0][2,3,4,5,6,][1]]	5	2100000	905.957	826.337	4.45683	5.3225e+06	88.25	48.5299	44.9469	
5602	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	801.858	801.858	0	8.3303e+06	55.7401	46.035	46.035	
5710	[[0][2,3,4,5,6,7,][1]]	6	2000000	917.481	917.481	0	5.81757e+06	86.5246	43.3537	43.3537	
6009	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	625.512	625.512	0	9.83248e+06	36.1582	45.8191	45.8191	
6282	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	1160.07	1160.07	0	5.55566e+06	29.3025	99.6612	99.6612	
6388	[[0][2,3,4,5,][1]]	4	1700000	653.605	653.605	0	6.40037e+06	98.3954	32.9038	32.9038	
6467	[[0][2,3,4,5,][1]]	4	2400000	905.21	905.21	0	4.48913e+06	96.1761	50.6678	50.6678	
6647	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,][1]]	14	2100000	789.67	789.67	0	6.15476e+06	34.7152	65.731	65.731	
6751	[[0][2,3,4,][1]]	3	2400000	585.036	585.036	0	5.1183e+06	98.8617	40.5467	40.5467	
6923	[[0][2,3,4,5,6,7,8,9,10,][1]]	9	1500000	914.387	914.387	0	7.99818e+06	81.0957	36.944	36.944	
7073	[[0][2,3,4,5,6,][1]]	5	2200000	918.818	918.818	0	4.93011e+06	89.902	46.5464	46.5464	
7303	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,][1]]	19	1900000	1027.83	1027.83	0	7.05331e+06	38.1084	70.8676	70.8676	
7415	[[0][2,3,4,5,6,][1]]	5	2200000	955.837	955.837	0	5.09088e+06	95.5896	46.9344	46.9344	
7499	[[0][2,3,][1]]	2	2300000	479.929	479.929	0	3.97744e+06	89.6468	40.5692	40.5692	
7632	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1110.88	1110.88	0	6.70352e+06	91.7238	44.688	44.688	
7879	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	1200000	676.922	676.922	0	1.03579e+07	53.8864	37.5202	37.5202	
8037	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1206.06	1206.06	0	6.72282e+06	99.0544	44.0922	44.0922	
8138	[[0][2,3,4,5,6,7,8,9,][1]]	8	1600000	834.348	834.348	0	7.66015e+06	79.3736	41.5956	41.5956	
8257	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	957.229	957.229	0	6.62283e+06	79.6303	47.1788	47.1788	
8520	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,][1]]	18	2000000	839.155	839.155	0	6.59808e+06	30.7498	72.6026	72.6026	
8671	[[0][2,3,4,5,6,7,8,][1]]	7	1900000	983.933	983.933	0	6.28181e+06	86.9596	41.3658	41.3658	
8790	[[0][2,3,4,5,6,][1]]	5	1400000	627.009	627.009	0	7.91009e+06	96.9539	30.6871	30.6871	
8951	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1042.05	1042.05	0	6.62796e+06	85.6224	45.3498	45.3498	
9154	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1800000	953.279	953.279	0	7.2896e+06	46.3109	58.3972	58.3972	
9293	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1067.9	1067.9	0	6.86468e+06	91.1631	44.7243	44.7243	
9424	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	2200000	1416.15	1416.15	0	6.09848e+06	86.1956	57.5559	57.5559	
9558	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	948.845	948.845	0	6.57688e+06	77.076	45.0893	45.0893	
9873	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,][1]]	21	1500000	746.452	746.452	0	8.85289e+06	31.4733	59.335	59.335	
10022	[[0][2,3,4,5,6,7,8,][1]]	7	1900000	1174.86	1174.86	0	6.15242e+06	99.3562	42.755	42.755	
10104	[[0][2,3,][1]]	2	1900000	398.554	398.554	0	4.36613e+06	86.5298	31.3203	31.3203	
10239	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1048.53	1048.53	0	7.08747e+06	92.5136	41.3791	41.3791	
10381	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	2300000	1186.91	1186.91	0	5.97369e+06	59.1552	66.5683	66.5683	
10530	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1037.02	1037.02	0	7.73183e+06	98.0218	43.1211	43.1211	
10682	[[0][2,3,4,5,6,7,8,][1]]	7	1300000	743.336	743.336	0	9.37873e+06	97.2823	30.7659	30.7659	
10838	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1078.68	1078.68	0	6.64881e+06	89.056	44.7375	44.7375	
11055	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1700000	984.471	984.471	0	7.47561e+06	43.2825	60.2979	60.2979	
11207	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1175.49	1175.49	0	6.59021e+06	94.95	42.0325	42.0325	
11301	[[0][2,3,4,5,][1]]	4	2100000	667.55	667.55	0	5.277e+06	86.5079	42.2764	42.2764	
11436	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1205.69	1205.69	0	6.69602e+06	99.7905	45.2236	45.2236	
11700	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,][1]]	15	1400000	674.376	674.376	0	8.7586e+06	39.3912	46.4601	46.4601	
11854	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1057.15	1057.15	0	6.70314e+06	88.3721	44.245	44.245	
11997	[[0][2,3,4,5,6,7,8,9,10,11,][1]]	10	1800000	984.169	984.169	0	6.81192e+06	67.0089	48.1613	48.1613	
12145	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1026.18	1026.18	0	6.87521e+06	87.6246	44.6277	44.6277	
12376	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,][1]]	20	2200000	1116.33	1116.33	0	5.90469e+06	32.9687	86.801	86.801	
12516	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1110.73	1110.73	0	6.67144e+06	92.276	44.2784	44.2784	
12623	[[0][2,3,4,][1]]	3	1600000	462.33	462.33	0	6.44359e+06	91.7164	30.4656	30.4656	
12764	[[0][2,3,4,5,6,7,8,9,][1]]	8	1800000	1166.58	1166.58	0	6.67421e+06	95.4391	44.6325	44.6325	
12932	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,][1]]	13	2000000	835.778	835.778	0	6.40818e+06	41.1838	60.5875	60.5875	
