TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
172	[[0][2,3,4,5,6,7,8,9,10,11,12,13,][1]]	12	1600000	1374.03	1374.03	0	8.75743e+06	99.8254	48.5694	48.5694	
265	[[0][2,3,4,5,6,7,][1]]	6	2000000	927.145	927.145	0	6.40576e+06	98.3484	42.3632	42.3632	
424	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,][1]]	17	1300000	1373.66	1373.66	0	1.05926e+07	85.5933	46.7971	46.7971	
573	[[0][2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,][1]]	22	2400000	2464.75	2464.75	0	5.75377e+06	64.5399	103.972	103.972	
653	[[0][2,3,4,5,][1]]	4	1700000	632	632	0	6.35392e+06	97.2557	34.5834	34.5834	
804	[[0][2,3,4,5,6,][1]]	5	1200000	582.85	582.85	0	8.97393e+06	99.9752	27.5148	27.5148	
1812	[[0][2,3,4,5,6,][1]]	5	1200000	516.172	576.182	3.47173	9.03096e+06	99.8303	27.4685	27.5102	
2817	[[0][2,3,4,5,6,][1]]	5	1200000	516.043	570.168	4.59243	9.07964e+06	99.6687	27.436	27.5028	
3830	[[0][2,3,4,5,6,][1]]	5	1200000	514.239	564.575	5.3096	9.12686e+06	99.5237	27.3561	27.4881	
4834	[[0][2,3,4,5,6,][1]]	5	1200000	517.536	559.872	5.67044	9.16541e+06	99.416	27.4431	27.4836	
5843	[[0][2,3,4,5,6,][1]]	5	1200000	519.774	555.862	5.83444	9.19503e+06	99.3081	27.3332	27.4686	
6854	[[0][2,3,4,5,6,][1]]	5	1200000	521.8	552.456	5.86829	9.21958e+06	99.2281	27.5084	27.4725	
7868	[[0][2,3,4,5,6,][1]]	5	1200000	516.589	548.869	5.93655	9.2472e+06	99.1156	27.5004	27.4753	
8875	[[0][2,3,4,5,6,][1]]	5	1200000	520.717	546.054	5.86842	9.26822e+06	99.0528	27.4634	27.4741	
9878	[[0][2,3,4,5,6,][1]]	5	1200000	519.158	543.364	5.78854	9.29014e+06	98.9979	27.4761	27.4743	
10884	[[0][2,3,4,5,6,][1]]	5	1200000	520.465	541.074	5.659	9.30628e+06	98.9362	27.5745	27.4843	
11893	[[0][2,3,4,5,6,][1]]	5	1200000	520.32	538.999	5.51168	9.31959e+06	98.8653	27.5241	27.4883	
12897	[[0][2,3,4,5,6,][1]]	5	1200000	523.5	537.449	5.31481	9.32853e+06	98.8293	27.5505	27.4945	
13902	[[0][2,3,4,5,6,][1]]	5	1200000	520.03	535.707	5.15166	9.34053e+06	98.772	27.491	27.4942	
14906	[[0][2,3,4,5,6,][1]]	5	1200000	523.817	534.518	4.94341	9.34631e+06	98.7405	27.5742	27.5022	
15910	[[0][2,3,4,5,6,][1]]	5	1200000	520.395	533.106	4.76884	9.3558e+06	98.6914	27.6266	27.5146	
16917	[[0][2,3,4,5,6,][1]]	5	1200000	520.765	531.872	4.58774	9.36409e+06	98.6527	27.6042	27.5236	
17925	[[0][2,3,4,5,6,][1]]	5	1200000	520.441	530.729	4.40929	9.37541e+06	98.6514	27.6886	27.5401	
18936	[[0][2,3,4,5,6,][1]]	5	1200000	521.245	529.78	4.22477	9.37892e+06	98.5965	27.6681	27.5529	
19938	[[0][2,3,4,5,6,][1]]	5	1200000	522.134	529.016	4.03712	9.38235e+06	98.5662	27.6092	27.5585	
20943	[[0][2,3,4,5,6,][1]]	5	1200000	521.786	528.293	3.8571	9.38411e+06	98.5176	27.6007	27.5627	
21954	[[0][2,3,4,5,6,][1]]	5	1200000	523.582	527.822	3.67221	9.388e+06	98.5329	27.5307	27.5595	
22960	[[0][2,3,4,5,6,][1]]	5	1200000	522.766	527.316	3.49894	9.38999e+06	98.5152	27.6371	27.5673	
23970	[[0][2,3,4,5,6,][1]]	5	1200000	521.508	526.735	3.33947	9.39326e+06	98.4908	27.692	27.5798	
24980	[[0][2,3,4,5,6,][1]]	5	1200000	520.846	526.146	3.18938	9.39518e+06	98.4453	27.7045	27.5922	
25990	[[0][2,3,4,5,6,][1]]	5	1200000	522.137	525.745	3.03665	9.39478e+06	98.4066	27.6604	27.599	
26997	[[0][2,3,4,5,6,][1]]	5	1200000	522.134	525.384	2.89016	9.39601e+06	98.3863	27.5962	27.5988	
28008	[[0][2,3,4,5,6,][1]]	5	1200000	521.755	525.021	2.75157	9.39698e+06	98.3624	27.628	27.6017	
29014	[[0][2,3,4,5,6,][1]]	5	1200000	524.505	524.97	2.61079	9.39507e+06	98.3632	27.6022	27.6017	
30024	[[0][2,3,4,5,6,][1]]	5	1200000	523.765	524.849	2.47834	9.39648e+06	98.3811	27.6584	27.6074	
31038	[[0][2,3,4,5,6,][1]]	5	1200000	520.918	524.456	2.36364	9.39889e+06	98.3569	27.5438	27.601	
32043	[[0][2,3,4,5,6,][1]]	5	1200000	522.734	524.284	2.24525	9.39773e+06	98.334	27.503	27.5912	
33054	[[0][2,3,4,5,6,][1]]	5	1200000	521.435	523.999	2.13742	9.39843e+06	98.3084	27.5012	27.5822	
34059	[[0][2,3,4,5,6,][1]]	5	1200000	525.692	524.168	2.02939	9.3946e+06	98.3166	27.6848	27.5925	
35064	[[0][2,3,4,5,6,][1]]	5	1200000	522.604	524.012	1.92791	9.39645e+06	98.3221	27.6373	27.597	
36073	[[0][2,3,4,5,6,][1]]	5	1200000	524.325	524.043	1.82895	9.39377e+06	98.3141	27.6158	27.5988	
37074	[[0][2,3,4,5,6,][1]]	5	1200000	339.605	505.599	11.0905	9.3985e+06	94.8593	17.3061	26.5696	
