TimestampMillisecs	[[EmitterVc][WorkersVc][CollectorVc]]	Workers	Frequency	CurrentBandwidth	SmoothedBandwidth	CoeffVarBandwidth	SmoothedLatency	SmoothedUtilization	CurrentWatts	SmoothedWatts	
97	[[0][2,3,][1]]	2	1200000	259.662	259.662	0	7.50357e+06	96.589	23.7205	23.7205	
175	[[0][2,3,4,][1]]	3	2100000	683.099	683.099	0	4.32614e+06	98.0224	39.2173	39.2173	
278	[[0][2,3,4,5,6,7,8,][1]]	7	1600000	981.402	981.402	0	7.3619e+06	98.3845	39.3545	39.3545	
430	[[0][2,3,4,5,6,][1]]	5	1200000	507.159	507.159	0	1.00792e+07	99.028	27.4532	27.4532	
1433	[[0][2,3,4,5,6,][1]]	5	1200000	514.105	507.854	0.410343	1.00239e+07	98.9178	27.3841	27.4463	
2441	[[0][2,3,4,5,6,][1]]	5	1200000	519.516	509.02	0.789471	9.96862e+06	98.8658	27.359	27.4376	
3455	[[0][2,3,4,5,6,][1]]	5	1200000	519.866	510.104	0.982589	9.91858e+06	98.8218	27.2962	27.4235	
4470	[[0][2,3,4,5,6,][1]]	5	1200000	519.667	511.061	1.08664	9.87186e+06	98.7624	27.408	27.4219	
5484	[[0][2,3,4,5,6,][1]]	5	1200000	522.318	512.186	1.2218	9.82684e+06	98.7275	27.5711	27.4368	
6493	[[0][2,3,4,5,6,][1]]	5	1200000	522.493	513.217	1.30427	9.78696e+06	98.7053	27.5122	27.4444	
7506	[[0][2,3,4,5,6,][1]]	5	1200000	521.127	514.008	1.31888	9.74992e+06	98.6461	27.5639	27.4563	
8509	[[0][2,3,4,5,6,][1]]	5	1200000	520.11	514.618	1.29935	9.71862e+06	98.5977	27.6921	27.4799	
9514	[[0][2,3,4,5,6,][1]]	5	1200000	524.072	515.564	1.34779	9.68836e+06	98.6051	27.5808	27.49	
10521	[[0][2,3,4,5,6,][1]]	5	1200000	521.313	516.139	1.3202	9.66176e+06	98.5682	27.6751	27.5085	
11531	[[0][2,3,4,5,6,][1]]	5	1200000	522.85	516.81	1.31009	9.63837e+06	98.5676	27.5993	27.5176	
12539	[[0][2,3,4,5,6,][1]]	5	1200000	518.704	516.999	1.24726	9.61829e+06	98.4992	27.6475	27.5306	
13544	[[0][2,3,4,5,6,][1]]	5	1200000	521.479	517.447	1.21043	9.6008e+06	98.496	27.6705	27.5446	
14555	[[0][2,3,4,5,6,][1]]	5	1200000	522.35	517.938	1.18185	9.58228e+06	98.4825	27.6428	27.5544	
15563	[[0][2,3,4,5,6,][1]]	5	1200000	523.286	518.472	1.16202	9.56486e+06	98.4796	27.7159	27.5705	
16568	[[0][2,3,4,5,6,][1]]	5	1200000	522.23	518.848	1.12281	9.54925e+06	98.4568	27.7593	27.5894	
17579	[[0][2,3,4,5,6,][1]]	5	1200000	523.165	519.28	1.09314	9.53466e+06	98.4498	27.5963	27.5901	
18587	[[0][2,3,4,5,6,][1]]	5	1200000	523.079	519.66	1.05924	9.52196e+06	98.4457	27.5979	27.5909	
19595	[[0][2,3,4,5,6,][1]]	5	1200000	523.434	520.037	1.02748	9.5102e+06	98.4461	27.6759	27.5994	
20598	[[0][2,3,4,5,6,][1]]	5	1200000	524.149	520.448	1.00241	9.50057e+06	98.4689	27.789	27.6183	
21608	[[0][2,3,4,5,6,][1]]	5	1200000	522.359	520.639	0.956975	9.49164e+06	98.4533	27.5948	27.616	
22624	[[0][2,3,4,5,6,][1]]	5	1200000	523.894	520.965	0.926457	9.48167e+06	98.4477	27.6622	27.6206	
23635	[[0][2,3,4,5,6,][1]]	5	1200000	523.127	521.181	0.887319	9.47497e+06	98.4534	27.6181	27.6204	
24643	[[0][2,3,4,5,6,][1]]	5	1200000	522.407	521.304	0.844536	9.46592e+06	98.4126	27.6532	27.6236	
25649	[[0][2,3,4,5,6,][1]]	5	1200000	521.744	521.348	0.80153	9.46062e+06	98.3934	27.6275	27.624	
26659	[[0][2,3,4,5,6,][1]]	5	1200000	522.571	521.47	0.763471	9.45439e+06	98.3752	27.6148	27.6231	
27670	[[0][2,3,4,5,6,][1]]	5	1200000	523.091	521.632	0.730045	9.44967e+06	98.3786	27.7027	27.6311	
28681	[[0][2,3,4,5,6,][1]]	5	1200000	521.336	521.603	0.69283	9.44683e+06	98.3631	27.6236	27.6303	
29692	[[0][2,3,4,5,6,][1]]	5	1200000	522.864	521.729	0.661109	9.44296e+06	98.3647	27.6412	27.6314	
30703	[[0][2,3,4,5,6,][1]]	5	1200000	522.155	521.771	0.62761	9.44049e+06	98.3626	27.6059	27.6289	
31714	[[0][2,3,4,5,6,][1]]	5	1200000	524.948	522.089	0.622405	9.43433e+06	98.3712	27.6714	27.6331	
32721	[[0][2,3,4,5,6,][1]]	5	1200000	522.673	522.147	0.591352	9.43249e+06	98.3754	27.6321	27.633	
33732	[[0][2,3,4,5,6,][1]]	5	1200000	521.845	522.117	0.561307	9.43054e+06	98.3599	27.706	27.6403	
34745	[[0][2,3,4,5,6,][1]]	5	1200000	521.715	522.077	0.533045	9.4293e+06	98.3495	27.6175	27.638	
35756	[[0][2,3,4,5,6,][1]]	5	1200000	522.173	522.087	0.505712	9.42672e+06	98.3341	27.5979	27.634	
36756	[[0][2,3,4,5,6,][1]]	5	1200000	496.181	519.496	1.57176	9.42515e+06	97.8383	27.4698	27.6176	
