#Workers	Frequency	0	Watts	Bandwidth
1	1200000	680.586	21.3614	172.501
1	1300000	671.196	22.6593	174.915
1	1400000	583.686	24.5362	201.139
1	1500000	544.026	26.1557	215.802
1	1600000	502.416	27.877	233.675
1	1700000	476.298	29.718	246.489
1	1800000	500.634	30.6326	234.507
1	1900000	467.496	32.4177	251.129
1	2000000	430.806	34.5427	272.517
1	2100000	382.356	36.7451	307.049
1	2200000	366.444	38.8216	320.382
1	2300000	357.684	40.8175	328.228
1	2400000	352.608	42.4899	332.953
2	1200000	464.112	23.0148	252.96
2	1300000	431.67	24.4865	271.972
2	1400000	420.768	25.8303	279.018
2	1500000	411.282	27.3738	285.454
2	1600000	372.648	29.5349	315.048
2	1700000	359.184	30.684	326.858
2	1800000	325.926	33.7387	360.211
2	1900000	341.814	33.5287	343.467
2	2000000	289.08	37.2761	406.123
2	2100000	264.972	39.5578	443.073
2	2200000	270.816	40.8772	433.512
2	2300000	242.754	44.0611	483.625
2	2400000	249.36	45.6639	470.813
3	1200000	396.762	23.553	295.9
3	1300000	318.9	26.4128	368.147
3	1400000	300.54	28.0749	390.637
3	1500000	292.68	29.6211	401.128
3	1600000	260.022	32.3841	451.508
3	1700000	251.922	34.0621	466.025
3	1800000	230.448	36.5122	509.451
3	1900000	245.802	36.8924	477.628
3	2000000	231.246	39.2858	507.693
3	2100000	202.194	42.0814	580.64
3	2200000	188.19	45.4576	623.848
3	2300000	188.37	47.0073	623.252
3	2400000	174.69	49.2073	672.059
4	1200000	272.964	26.3272	430.101
4	1300000	257.22	27.7602	456.426
4	1400000	244.662	29.7523	479.854
4	1500000	221.322	32.2272	530.458
4	1600000	205.422	34.3101	571.516
4	1700000	192.996	37.1176	608.313
4	1800000	203.088	48.2606	578.084
4	1900000	204.942	60.3553	572.855
4	2000000	174.912	46.7358	671.206
4	2100000	159	45.5348	738.377
4	2200000	150.018	48.016	782.586
4	2300000	147.222	50.2043	797.449
4	2400000	136.788	53.7066	858.277
5	1200000	228.33	27.0886	514.177
5	1300000	212.652	30.475	552.085
5	1400000	219.54	38.1066	534.764
5	1500000	197.874	44.8553	593.317
5	1600000	210.714	49.818	557.163
