#Workers	Frequency	Time	Watts
1	1200000	113.431	21.3614
1	1300000	111.866	22.6593
1	1400000	97.281	24.5362
1	1500000	90.671	26.1557
1	1600000	83.736	27.877
1	1700000	79.383	29.718
1	1800000	83.439	30.6326
1	1900000	77.916	32.4177
1	2000000	71.801	34.5427
1	2100000	63.726	36.7451
1	2200000	61.074	38.8216
1	2300000	59.614	40.8175
1	2400000	58.768	42.4899
2	1200000	77.352	23.0148
2	1300000	71.945	24.4865
2	1400000	70.128	25.8303
2	1500000	68.547	27.3738
2	1600000	62.108	29.5349
2	1700000	59.864	30.684
2	1800000	54.321	33.7387
2	1900000	56.969	33.5287
2	2000000	48.18	37.2761
2	2100000	44.162	39.5578
2	2200000	45.136	40.8772
2	2300000	40.459	44.0611
2	2400000	41.56	45.6639
3	1200000	66.127	23.553
3	1300000	53.15	26.4128
3	1400000	50.09	28.0749
3	1500000	48.78	29.6211
3	1600000	43.337	32.3841
3	1700000	41.987	34.0621
3	1800000	38.408	36.5122
3	1900000	40.967	36.8924
3	2000000	38.541	39.2858
3	2100000	33.699	42.0814
3	2200000	31.365	45.4576
3	2300000	31.395	47.0073
3	2400000	29.115	49.2073
4	1200000	45.494	26.3272
4	1300000	42.87	27.7602
4	1400000	40.777	29.7523
4	1500000	36.887	32.2272
4	1600000	34.237	34.3101
4	1700000	32.166	37.1176
4	1800000	33.848	48.2606
4	1900000	34.157	60.3553
4	2000000	29.152	46.7358
4	2100000	26.5	45.5348
4	2200000	25.003	48.016
4	2300000	24.537	50.2043
4	2400000	22.798	53.7066
5	1200000	38.055	27.0886
5	1300000	35.442	30.475
5	1400000	36.59	38.1066
5	1500000	32.979	44.8553
5	1600000	35.119	49.818
5	1700000	28.431	38.5367
5	1800000	25.777	41.1615
5	1900000	23.876	43.9849
5	2000000	22.872	46.0657
5	2100000	22.102	48.3991
5	2200000	21.155	52.0663
5	2300000	19.745	54.3241
5	2400000	19.126	58.2209
6	1200000	36.164	28.3985
6	1300000	29.789	31.856
6	1400000	27.721	34.2972
6	1500000	26.01	36.6412
6	1600000	24.757	38.7263
6	1700000	23.252	41.5011
6	1800000	22.463	43.8075
6	1900000	20.631	46.2903
6	2000000	20.14	48.5371
6	2100000	18.548	52.6192
6	2200000	17.915	54.5939
6	2300000	17.127	57.107
6	2400000	16.907	59.1244
7	1200000	28.39	31.6737
7	1300000	26.588	33.2439
7	1400000	24.29	36.3691
7	1500000	22.725	38.5059
7	1600000	21.343	41.7435
7	1700000	20.002	43.7398
7	1800000	18.867	46.704
7	1900000	17.887	49.5221
7	2000000	17.057	51.7664
7	2100000	16.399	55.3185
7	2200000	15.735	57.7587
7	2300000	14.814	61.1199
7	2400000	14.345	64.521
8	1200000	25.439	32.8085
8	1300000	23.258	35.9736
8	1400000	21.688	37.8423
8	1500000	20.384	40.7417
8	1600000	19.341	43.3554
8	1700000	17.787	46.4114
8	1800000	16.883	48.9275
8	1900000	16.056	51.8101
8	2000000	15.17	55.6073
8	2100000	14.511	58.2492
8	2200000	13.923	60.6231
8	2300000	13.447	64.5554
8	2400000	12.74	67.6684
9	1200000	22.69	34.8397
9	1300000	21.157	36.9599
9	1400000	19.727	39.6455
9	1500000	18.959	42.1528
9	1600000	17.194	46.2704
9	1700000	16.048	48.4649
9	1800000	15.241	52.5767
9	1900000	14.418	55.6588
9	2000000	13.681	58.4565
9	2100000	13.468	60.9231
9	2200000	12.478	65.1689
9	2300000	12.026	66.8051
9	2400000	11.508	71.7687
10	1200000	20.865	36.2646
10	1300000	19.133	38.7571
10	1400000	17.721	41.9995
10	1500000	16.795	44.4609
10	1600000	15.589	48.2529
10	1700000	15.121	49.7287
10	1800000	13.896	54.1951
10	1900000	13.223	58.4895
10	2000000	12.5	61.5757
10	2100000	11.909	64.0287
10	2200000	11.444	68.2525
10	2300000	10.861	71.2762
10	2400000	10.469	75.3185
11	1200000	19.077	37.6728
11	1300000	17.629	40.824
11	1400000	16.387	44.0509
11	1500000	15.444	47.1919
11	1600000	14.325	50.8251
11	1700000	13.482	53.7896
11	1800000	12.712	56.7919
11	1900000	12.139	61.418
11	2000000	11.506	64.0535
11	2100000	11.001	66.5534
11	2200000	10.457	71.5486
11	2300000	10.053	73.343
11	2400000	9.619	78.1828
12	1200000	17.707	39.5507
12	1300000	17.024	41.5127
12	1400000	15.284	46.2146
12	1500000	14.17	49.6502
12	1600000	13.459	52.5902
12	1700000	12.558	55.6007
12	1800000	12.085	58.2673
12	1900000	11.378	62.2335
12	2000000	10.708	66.265
12	2100000	10.108	71.2241
12	2200000	9.769	73.3557
12	2300000	9.438	78.0862
12	2400000	9.103	81.9822
13	1200000	16.437	41.4743
13	1300000	15.26	44.7095
13	1400000	14.085	47.2595
13	1500000	13.214	51.9551
13	1600000	13.005	53.7459
13	1700000	11.623	58.3245
13	1800000	11.399	60.9661
13	1900000	10.421	66.2998
13	2000000	9.988	68.6215
13	2100000	9.657	72.4534
13	2200000	9.321	76.8873
13	2300000	8.883	79.513
13	2400000	8.786	82.6929
14	1200000	15.863	41.6702
14	1300000	14.199	46.4393
14	1400000	13.337	49.7302
14	1500000	12.343	53.4534
14	1600000	11.778	55.62
14	1700000	11.025	58.902
14	1800000	10.755	62.4089
14	1900000	10.115	67.5365
14	2000000	9.727	69.9799
14	2100000	9.112	75.8881
14	2200000	8.85	77.678
14	2300000	8.137	86.4185
14	2400000	7.933	87.3426
15	1200000	15.063	43.1317
15	1300000	13.861	46.7534
15	1400000	13.215	50.3828
15	1500000	11.778	54.4612
15	1600000	11.215	59.1329
15	1700000	10.802	61.0667
15	1800000	10.83	62.9675
15	1900000	10.674	66.9446
15	2000000	9.326	74.2765
15	2100000	8.86	76.7847
15	2200000	8.394	83.4006
15	2300000	8.119	87.0982
15	2400000	7.629	91.77
16	1200000	15.332	44.0105
16	1300000	14.075	47.3246
16	1400000	12.829	51.5547
16	1500000	11.939	55.3944
16	1600000	11.262	60.238
16	1700000	10.701	63.2993
16	1800000	10.457	66.9943
16	1900000	9.907	69.5394
16	2000000	9.018	74.8014
16	2100000	8.532	81.3552
16	2200000	8.437	84.8425
16	2300000	8.605	85.6065
16	2400000	8.056	88.8528
17	1200000	15.117	45.0023
17	1300000	14.336	48.7036
17	1400000	13.014	52.2747
17	1500000	13.053	54.1347
17	1600000	12.042	59.1201
17	1700000	11.269	63.7672
17	1800000	10.387	68.9847
17	1900000	10.225	71.3586
17	2000000	10.436	73.5683
17	2100000	9.017	79.2147
17	2200000	8.68	84.2097
17	2300000	8.275	88.9431
17	2400000	7.985	91.8446
18	1200000	15.335	46.439
18	1300000	14.301	49.9907
18	1400000	13.157	53.5269
18	1500000	12.499	56.7112
18	1600000	12.419	59.8627
18	1700000	11.917	62.8434
18	1800000	10.823	67.3925
18	1900000	11.041	69.3066
18	2000000	10.604	73.8447
18	2100000	9.141	83.0086
18	2200000	8.923	85.4877
18	2300000	8.413	91.0169
18	2400000	8.534	93.5506
19	1200000	15.308	47.872
19	1300000	14.184	49.824
19	1400000	13.473	54.6462
19	1500000	12.69	58.1579
19	1600000	11.618	63.1299
19	1700000	11.188	66.3168
19	1800000	10.63	70.1962
19	1900000	10.4	74.537
19	2000000	9.831	78.054
19	2100000	9.317	83.0961
19	2200000	8.701	87.9128
19	2300000	8.479	91.8468
19	2400000	8.42	96.9831
20	1200000	15.943	47.6453
20	1300000	15.259	49.178
20	1400000	14.971	53.4483
20	1500000	13.538	58.5564
20	1600000	12.24	64.3927
20	1700000	11.995	64.9377
20	1800000	11.29	71.334
20	1900000	10.731	74.4236
20	2000000	10.174	80.1458
20	2100000	9.79	82.948
20	2200000	9.602	87.787
20	2300000	9.058	92.0248
20	2400000	8.904	95.294
21	1200000	16.634	48.2222
21	1300000	15.318	51.8962
21	1400000	14.715	55.599
21	1500000	13.436	59.9243
